"","Estimate","Std. Error","t value","cat","lo_2.5","hi_97.5","est"
"1",0.93,2.7,0.34,"(Intercept)",-4.35,6.2,"0.93(-4.35-6.2)"
"2",0,1.07,0,"vax_cat2a1_first_new",-2.09,2.09,"0(-2.09-2.09)"
"3",2.56,0.84,3.05,"vax_cat2a2_full_new",0.92,4.21,"2.56(0.92-4.21)"
"4",2.71,1.02,2.66,"vax_cat2a3_full_vax",0.72,4.71,"2.71(0.72-4.71)"
"5",-0.01,0.03,-0.39,"StringencyIndex",-0.07,0.04,"-0.01(-0.07-0.04)"
"6",-1.23,1.48,-0.83,"age_cat125-34",-4.13,1.66,"-1.23(-4.13-1.66)"
"7",0.59,1.46,0.4,"age_cat135-44",-2.27,3.44,"0.59(-2.27-3.44)"
"8",-0.12,1.46,-0.08,"age_cat145-54",-2.98,2.75,"-0.12(-2.98-2.75)"
"9",-0.83,1.43,-0.58,"age_cat155-64",-3.63,1.98,"-0.83(-3.63-1.98)"
"10",-0.74,1.45,-0.51,"age_cat165+",-3.58,2.1,"-0.74(-3.58-2.1)"
"11",0.71,0.76,0.94,"pol_catInd",-0.77,2.2,"0.71(-0.77-2.2)"
"12",1.44,0.84,1.71,"pol_catRep",-0.21,3.09,"1.44(-0.21-3.09)"
"13",-0.19,0.72,-0.27,"pol_catUnknown Pol",-1.6,1.21,"-0.19(-1.6-1.21)"
"14",-0.11,0.63,-0.17,"hh_cat2-4",-1.33,1.12,"-0.11(-1.33-1.12)"
"15",-0.48,1.28,-0.38,"hh_cat5+",-2.98,2.02,"-0.48(-2.98-2.02)"
"16",-2.74,0.78,-3.52,"emp_catEmp,out home",-4.26,-1.22,"-2.74(-4.26--1.22)"
"17",-1.39,0.84,-1.66,"emp_catUnemp",-3.03,0.25,"-1.39(-3.03-0.25)"
"18",-1.24,1.53,-0.81,"emp_catUnknown Emp",-4.24,1.77,"-1.24(-4.24-1.77)"
"19",1.32,1.08,1.23,"lca4_fullMed-high",-0.79,3.42,"1.32(-0.79-3.42)"
"20",1.4,1.11,1.25,"lca4_fullMed-low",-0.78,3.57,"1.4(-0.78-3.57)"
"21",1.42,1.14,1.25,"lca4_fullLow",-0.81,3.65,"1.42(-0.81-3.65)"
"22",-1.9,2.01,-0.94,"variant_worry_catDecreased slightly",-5.84,2.04,"-1.9(-5.84-2.04)"
"23",-3.77,1.57,-2.4,"variant_worry_catNo change",-6.84,-0.7,"-3.77(-6.84--0.7)"
"24",-3.8,1.59,-2.4,"variant_worry_catIncreased slightly",-6.9,-0.7,"-3.8(-6.9--0.7)"
"25",-3.94,1.74,-2.26,"variant_worry_catIncreased greatly",-7.35,-0.53,"-3.94(-7.35--0.53)"
"26",0.21,0.02,11.08,"base_cont",0.18,0.25,"0.21(0.18-0.25)"
"27",0.66,0.33,1.99,"Series_Complete_Pop_Pct",0.01,1.31,"0.66(0.01-1.31)"
