,Estimate,Std. Error,t value,cat,est
1,2.7,2.37,1.14,(Intercept),2.7(-1.93-7.33)
2,0.99,1.08,0.92,vax_cat2a1_first_new,0.99(-1.12-3.1)
3,1.93,0.85,2.28,vax_cat2a2_full_new,1.93(0.27-3.59)
4,2.72,1.03,2.65,vax_cat2a3_full_vax,2.72(0.71-4.73)
5,-0.01,0.03,-0.45,StringencyIndex,-0.01(-0.07-0.04)
6,-0.06,1.49,-0.04,age_cat125-34,-0.06(-2.98-2.86)
7,0.63,1.47,0.43,age_cat135-44,0.63(-2.24-3.51)
8,0.42,1.48,0.28,age_cat145-54,0.42(-2.47-3.31)
9,-0.07,1.44,-0.05,age_cat155-64,-0.07(-2.89-2.75)
10,-0.67,1.46,-0.46,age_cat165+,-0.67(-3.52-2.18)
11,0.68,0.77,0.89,pol_catInd,0.68(-0.81-2.18)
12,-0.04,0.85,-0.05,pol_catRep,-0.04(-1.7-1.62)
13,-0.28,0.73,-0.39,pol_catUnknown Pol,-0.28(-1.7-1.13)
14,0.16,0.63,0.25,hh_cat2-4,0.16(-1.08-1.39)
15,1.56,1.29,1.21,hh_cat5+,1.56(-0.96-4.08)
16,-0.39,0.77,-0.51,"emp_catEmp,out home",-0.39(-1.9-1.12)
17,-0.67,0.85,-0.79,emp_catUnemp,-0.67(-2.33-0.99)
18,0.43,1.55,0.28,emp_catUnknown Emp,0.43(-2.59-3.46)
19,-1.28,1.08,-1.18,lca4_fullMed-high,-1.28(-3.4-0.84)
20,-0.94,1.12,-0.84,lca4_fullMed-low,-0.94(-3.12-1.25)
21,-1.61,1.15,-1.4,lca4_fullLow,-1.61(-3.86-0.64)
22,-0.81,0.92,-0.88,variant_worry_catIncreased slightly,-0.81(-2.6-0.99)
23,0.42,0.96,0.44,variant_worry_catNo change,0.42(-1.46-2.3)
24,1.86,1.62,1.14,variant_worry_catDecreased slightly,1.86(-1.32-5.04)
25,4.25,1.76,2.42,variant_worry_catDecreased greatly,4.25(0.81-7.7)
26,-0.37,0.34,-1.09,Series_Complete_Pop_Pct,-0.37(-1.02-0.29)
