"","Estimate","Std. Error","t value","cat","lo_2.5","hi_97.5","est"
"1",3.92,2.71,1.45,"(Intercept)",-1.37,9.22,"3.92(-1.37-9.22)"
"2",-0.05,1.08,-0.05,"vax_cat2a1_first_new",-2.16,2.06,"-0.05(-2.16-2.06)"
"3",2.69,0.85,3.18,"vax_cat2a2_full_new",1.04,4.35,"2.69(1.04-4.35)"
"4",2.94,1.03,2.86,"vax_cat2a3_full_vax",0.93,4.95,"2.94(0.93-4.95)"
"5",-0.02,0.03,-0.58,"StringencyIndex",-0.07,0.04,"-0.02(-0.07-0.04)"
"6",-2.02,1.49,-1.35,"age_cat125-34",-4.94,0.9,"-2.02(-4.94-0.9)"
"7",-0.28,1.47,-0.19,"age_cat135-44",-3.15,2.6,"-0.28(-3.15-2.6)"
"8",-0.97,1.48,-0.66,"age_cat145-54",-3.86,1.91,"-0.97(-3.86-1.91)"
"9",-1.84,1.44,-1.28,"age_cat155-64",-4.66,0.98,"-1.84(-4.66-0.98)"
"10",-2.1,1.46,-1.44,"age_cat165+",-4.95,0.75,"-2.1(-4.95-0.75)"
"11",0.69,0.77,0.9,"pol_catInd",-0.81,2.18,"0.69(-0.81-2.18)"
"12",1.43,0.85,1.68,"pol_catRep",-0.23,3.09,"1.43(-0.23-3.09)"
"13",-0.02,0.72,-0.03,"pol_catUnknown Pol",-1.44,1.4,"-0.02(-1.44-1.4)"
"14",0.14,0.63,0.22,"hh_cat2-4",-1.1,1.37,"0.14(-1.1-1.37)"
"15",-0.17,1.29,-0.13,"hh_cat5+",-2.69,2.35,"-0.17(-2.69-2.35)"
"16",-1.12,0.77,-1.46,"emp_catEmp,out home",-2.63,0.39,"-1.12(-2.63-0.39)"
"17",-1.42,0.85,-1.68,"emp_catUnemp",-3.08,0.23,"-1.42(-3.08-0.23)"
"18",-0.72,1.55,-0.47,"emp_catUnknown Emp",-3.75,2.3,"-0.72(-3.75-2.3)"
"19",0.61,1.08,0.57,"lca4_fullMed-high",-1.51,2.73,"0.61(-1.51-2.73)"
"20",0.11,1.12,0.1,"lca4_fullMed-low",-2.07,2.3,"0.11(-2.07-2.3)"
"21",1.29,1.15,1.12,"lca4_fullLow",-0.96,3.54,"1.29(-0.96-3.54)"
"22",0.56,0.34,1.68,"Series_Complete_Pop_Pct",-0.09,1.22,"0.56(-0.09-1.22)"
"23",-2.22,2.03,-1.09,"variant_worry_catDecreased slightly",-6.19,1.75,"-2.22(-6.19-1.75)"
"24",-3.84,1.58,-2.43,"variant_worry_catNo change",-6.94,-0.75,"-3.84(-6.94--0.75)"
"25",-4.03,1.6,-2.52,"variant_worry_catIncreased slightly",-7.16,-0.91,"-4.03(-7.16--0.91)"
"26",-4.18,1.76,-2.37,"variant_worry_catIncreased greatly",-7.62,-0.74,"-4.18(-7.62--0.74)"
