"","Estimate.x","Std. Error.x","t value.x","cat","2.5 %.x","97.5 %.x","Estimate.y","Std. Error.y","t value.y","2.5 %.y","97.5 %.y","Estimate.x.x","Std. Error.x.x","t value.x.x","2.5 %.x.x","97.5 %.x.x","Estimate.y.y","Std. Error.y.y","t value.y.y","2.5 %.y.y","97.5 %.y.y","Estimate","Std. Error","t value","2.5 %","97.5 %"
"1",0.71,0.54,1.32,"(Intercept)",-0.35,1.77,0.69,0.57,1.2,-0.43,1.81,-0.41,1.47,-0.28,-3.28,2.47,2.76,0.59,4.72,1.62,3.91,3.68,1.48,2.5,0.8,6.57
"2",0.7,0.98,0.72,"vax_cata1_first_new",-1.22,2.63,0.74,0.98,0.75,-1.19,2.66,1.22,1,1.22,-0.74,3.19,0.23,0.97,0.24,-1.67,2.14,1.02,0.99,1.03,-0.91,2.96
"3",0.94,0.76,1.24,"vax_cata2_both_new",-0.55,2.42,1.05,0.79,1.34,-0.49,2.6,1.51,0.83,1.82,-0.12,3.13,0.67,0.78,0.86,-0.86,2.2,1.5,0.82,1.83,-0.1,3.09
"4",1.94,1.05,1.85,"vax_cata2_second_new",-0.11,3.99,2.08,1.18,1.76,-0.24,4.4,2.55,1.24,2.06,0.13,4.97,1.31,1.17,1.12,-0.99,3.6,2.38,1.22,1.95,0,4.76
"5",1.84,0.68,2.71,"vax_cata3_full_vax",0.51,3.17,1.37,0.94,1.47,-0.46,3.2,1.98,1.04,1.9,-0.06,4.02,0.67,0.92,0.73,-1.14,2.49,2.04,1.03,1.98,0.03,4.04
"6",1.16,0.44,2.66,"(Intercept)",0.31,2.02,0.69,0.57,1.2,-0.43,1.81,-0.41,1.47,-0.28,-3.28,2.47,2.76,0.59,4.72,1.62,3.91,3.68,1.48,2.5,0.8,6.57
"7",0.45,0.62,0.72,"roundr3",-0.76,1.66,-0.3,0.76,-0.4,-1.78,1.18,-0.36,0.79,-0.46,-1.89,1.18,0,0.75,0,-1.46,1.47,-0.37,0.77,-0.48,-1.88,1.14
"8",1.6,0.62,2.59,"roundr4",0.39,2.81,0.79,0.93,0.85,-1.03,2.61,0.42,0.98,0.43,-1.5,2.34,1.21,0.92,1.32,-0.59,3,0.34,0.97,0.35,-1.55,2.23
"9",1.93,1.18,1.64,"(Intercept)",-0.37,4.23,0.69,0.57,1.2,-0.43,1.81,-0.41,1.47,-0.28,-3.28,2.47,2.76,0.59,4.72,1.62,3.91,3.68,1.48,2.5,0.8,6.57
"10",-0.07,1.35,-0.05,"age_cat125-34",-2.71,2.58,NA,NA,NA,NA,NA,0.28,1.38,0.2,-2.43,2.99,NA,NA,NA,NA,NA,-0.69,1.36,-0.51,-3.37,1.98
"11",0.32,1.33,0.24,"age_cat135-44",-2.28,2.92,NA,NA,NA,NA,NA,0.49,1.36,0.36,-2.17,3.15,NA,NA,NA,NA,NA,-0.42,1.34,-0.31,-3.04,2.2
"12",-0.02,1.32,-0.02,"age_cat145-54",-2.61,2.57,NA,NA,NA,NA,NA,0.26,1.37,0.19,-2.41,2.94,NA,NA,NA,NA,NA,-0.78,1.35,-0.58,-3.42,1.86
"13",-0.26,1.3,-0.2,"age_cat155-64",-2.81,2.28,NA,NA,NA,NA,NA,-0.08,1.34,-0.06,-2.69,2.53,NA,NA,NA,NA,NA,-1.31,1.32,-0.99,-3.89,1.28
"14",-0.26,1.28,-0.2,"age_cat165+",-2.76,2.24,NA,NA,NA,NA,NA,-0.39,1.36,-0.29,-3.05,2.26,NA,NA,NA,NA,NA,-2.15,1.34,-1.6,-4.78,0.47
"15",2.25,0.75,3.01,"(Intercept)",0.78,3.71,0.69,0.57,1.2,-0.43,1.81,-0.41,1.47,-0.28,-3.28,2.47,2.76,0.59,4.72,1.62,3.91,3.68,1.48,2.5,0.8,6.57
"16",-0.24,0.8,-0.3,"race_eth_i2_NH-White",-1.82,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",-1.07,1.03,-1.03,"race_eth_i3_NH-Black",-3.09,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",-1.47,1.33,-1.1,"race_eth_i4_NH-Asian",-4.08,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",-1.25,2.05,-0.61,"race_eth_i5_NH-Other",-5.27,2.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1.56,0.39,3.97,"(Intercept)",0.79,2.33,0.69,0.57,1.2,-0.43,1.81,-0.41,1.47,-0.28,-3.28,2.47,2.76,0.59,4.72,1.62,3.91,3.68,1.48,2.5,0.8,6.57
"21",0.91,0.71,1.29,"pol_catind",-0.47,2.29,NA,NA,NA,NA,NA,1.02,0.72,1.43,-0.38,2.43,NA,NA,NA,NA,NA,1.07,0.71,1.51,-0.31,2.45
"22",0.52,0.75,0.7,"pol_catrep",-0.94,1.99,NA,NA,NA,NA,NA,0.78,0.77,1.02,-0.73,2.29,NA,NA,NA,NA,NA,1.16,0.76,1.53,-0.33,2.65
"23",0.16,0.65,0.25,"pol_catunk",-1.1,1.43,NA,NA,NA,NA,NA,0.35,0.67,0.53,-0.97,1.68,NA,NA,NA,NA,NA,0.69,0.67,1.04,-0.61,1.99
