"","Estimate.x","Std. Error.x","t value.x","cat","2.5 %.x","97.5 %.x","Estimate.y","Std. Error.y","t value.y","2.5 %.y","97.5 %.y","Estimate.x.x","Std. Error.x.x","t value.x.x","2.5 %.x.x","97.5 %.x.x","Estimate.y.y","Std. Error.y.y","t value.y.y","2.5 %.y.y","97.5 %.y.y","Estimate.x.x.x","Std. Error.x.x.x","t value.x.x.x","2.5 %.x.x.x","97.5 %.x.x.x","Estimate.y.y.y","Std. Error.y.y.y","t value.y.y.y","2.5 %.y.y.y","97.5 %.y.y.y","Estimate","Std. Error","t value","2.5 %","97.5 %"
"1",10.68,0.52,20.64,"(Intercept)",9.66,11.69,0.69,0.57,1.2,-0.43,1.81,-0.41,1.47,-0.28,-3.28,2.47,2.76,0.59,4.72,1.62,3.91,3.68,1.48,2.5,0.8,6.57,2.87,0.56,5.16,1.78,3.96,3.66,1.46,2.5,0.79,6.52
"2",-0.79,0.85,-0.92,"vax_cata1_first_new",-2.47,0.89,0.74,0.98,0.75,-1.19,2.66,1.22,1,1.22,-0.74,3.19,0.23,0.97,0.24,-1.67,2.14,1.02,0.99,1.03,-0.91,2.96,0.21,0.97,0.22,-1.69,2.11,1,0.99,1.01,-0.93,2.93
"3",0.24,0.62,0.39,"vax_cata2_both_new",-0.98,1.46,1.05,0.79,1.34,-0.49,2.6,1.51,0.83,1.82,-0.12,3.13,0.67,0.78,0.86,-0.86,2.2,1.5,0.82,1.83,-0.1,3.09,0.64,0.75,0.85,-0.83,2.1,1.38,0.77,1.79,-0.13,2.89
"4",1.7,0.9,1.89,"vax_cata2_second_new",-0.07,3.47,2.08,1.18,1.76,-0.24,4.4,2.55,1.24,2.06,0.13,4.97,1.31,1.17,1.12,-0.99,3.6,2.38,1.22,1.95,0,4.76,1.4,1.03,1.35,-0.63,3.43,2.17,1.05,2.06,0.11,4.22
"5",3.15,0.59,5.34,"vax_cata3_full_vax",1.99,4.3,1.37,0.94,1.47,-0.46,3.2,1.98,1.04,1.9,-0.06,4.02,0.67,0.92,0.73,-1.14,2.49,2.04,1.03,1.98,0.03,4.04,1.44,0.67,2.15,0.13,2.75,2.22,0.71,3.14,0.84,3.61
"6",10,0.4,24.83,"(Intercept)",9.21,10.78,0.69,0.57,1.2,-0.43,1.81,-0.41,1.47,-0.28,-3.28,2.47,2.76,0.59,4.72,1.62,3.91,3.68,1.48,2.5,0.8,6.57,2.87,0.56,5.16,1.78,3.96,3.66,1.46,2.5,0.79,6.52
"7",1.61,0.46,3.5,"roundr3",0.71,2.51,-0.3,0.76,-0.4,-1.78,1.18,-0.36,0.79,-0.46,-1.89,1.18,0,0.75,0,-1.46,1.47,-0.37,0.77,-0.48,-1.88,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",4.38,0.46,9.5,"roundr4",3.47,5.28,0.79,0.93,0.85,-1.03,2.61,0.42,0.98,0.43,-1.5,2.34,1.21,0.92,1.32,-0.59,3,0.34,0.97,0.35,-1.55,2.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",16.27,1.38,11.81,"(Intercept)",13.57,18.97,0.69,0.57,1.2,-0.43,1.81,-0.41,1.47,-0.28,-3.28,2.47,2.76,0.59,4.72,1.62,3.91,3.68,1.48,2.5,0.8,6.57,2.87,0.56,5.16,1.78,3.96,3.66,1.46,2.5,0.79,6.52
"10",-1.26,1.58,-0.8,"age_cat125-34",-4.37,1.84,NA,NA,NA,NA,NA,0.28,1.38,0.2,-2.43,2.99,NA,NA,NA,NA,NA,-0.69,1.36,-0.51,-3.37,1.98,NA,NA,NA,NA,NA,-0.7,1.36,-0.51,-3.37,1.97
"11",-1.94,1.55,-1.25,"age_cat135-44",-4.98,1.11,NA,NA,NA,NA,NA,0.49,1.36,0.36,-2.17,3.15,NA,NA,NA,NA,NA,-0.42,1.34,-0.31,-3.04,2.2,NA,NA,NA,NA,NA,-0.43,1.34,-0.32,-3.05,2.2
"12",-2.72,1.55,-1.75,"age_cat145-54",-5.75,0.32,NA,NA,NA,NA,NA,0.26,1.37,0.19,-2.41,2.94,NA,NA,NA,NA,NA,-0.78,1.35,-0.58,-3.42,1.86,NA,NA,NA,NA,NA,-0.78,1.35,-0.58,-3.42,1.86
"13",-4.8,1.52,-3.15,"age_cat155-64",-7.78,-1.82,NA,NA,NA,NA,NA,-0.08,1.34,-0.06,-2.69,2.53,NA,NA,NA,NA,NA,-1.31,1.32,-0.99,-3.89,1.28,NA,NA,NA,NA,NA,-1.31,1.32,-1,-3.89,1.27
