,Estimate.x,Std. Error.x,t value.x,cat,lo_2.5.x,hi_97.5.x,est.x,Estimate.y,Std. Error.y,t value.y,lo_2.5.y,hi_97.5.y,est.y,Estimate.x.x,Std. Error.x.x,t value.x.x,lo_2.5.x.x,hi_97.5.x.x,est.x.x,Estimate.y.y,Std. Error.y.y,t value.y.y,lo_2.5.y.y,hi_97.5.y.y,est.y.y,Estimate,Std. Error,t value,lo_2.5,hi_97.5,est
1,0.71,0.54,1.32,(Intercept),-0.35,1.77,0.71(-0.35-1.77),0.6,1.29,0.46,-1.93,3.12,0.6(-1.93-3.12),-0.34,1.92,-0.18,-4.09,3.41,-0.34(-4.09-3.41),2.9,1.29,2.25,0.38,5.43,2.9(0.38-5.43),3.63,1.92,1.89,-0.13,7.38,3.63(-0.13-7.38)
2,0.7,0.98,0.72,vax_cata1_first_new,-1.22,2.63,0.7(-1.22-2.63),0.8,0.99,0.81,-1.14,2.74,0.8(-1.14-2.74),1.16,1.01,1.15,-0.82,3.13,1.16(-0.82-3.13),0.41,0.98,0.42,-1.51,2.34,0.41(-1.51-2.34),0.98,1,0.98,-0.97,2.93,0.98(-0.97-2.93)
3,0.94,0.76,1.24,vax_cata2_both_new,-0.55,2.42,0.94(-0.55-2.42),1.17,0.78,1.5,-0.36,2.7,1.17(-0.36-2.7),1.48,0.81,1.82,-0.11,3.06,1.48(-0.11-3.06),0.92,0.77,1.19,-0.59,2.44,0.92(-0.59-2.44),1.47,0.8,1.83,-0.1,3.04,1.47(-0.1-3.04)
4,1.94,1.05,1.85,vax_cata2_second_new,-0.11,3.99,1.94(-0.11-3.99),1.99,1.12,1.77,-0.21,4.18,1.99(-0.21-4.18),2.26,1.16,1.95,-0.01,4.52,2.26(-0.01-4.52),1.38,1.11,1.24,-0.8,3.55,1.38(-0.8-3.55),2.03,1.14,1.77,-0.21,4.26,2.03(-0.21-4.26)
5,1.84,0.68,2.71,vax_cata3_full_vax,0.51,3.17,1.84(0.51-3.17),1.61,0.82,1.97,0.01,3.21,1.61(0.01-3.21),1.93,0.89,2.17,0.19,3.66,1.93(0.19-3.66),1.01,0.81,1.24,-0.58,2.6,1.01(-0.58-2.6),1.8,0.88,2.06,0.09,3.52,1.8(0.09-3.52)
6,1.16,0.44,2.66,(Intercept),0.31,2.02,1.16(0.31-2.02),0.6,1.29,0.46,-1.93,3.12,0.6(-1.93-3.12),-0.34,1.92,-0.18,-4.09,3.41,-0.34(-4.09-3.41),2.9,1.29,2.25,0.38,5.43,2.9(0.38-5.43),3.63,1.92,1.89,-0.13,7.38,3.63(-0.13-7.38)
7,0.45,0.62,0.72,roundr3,-0.76,1.66,0.45(-0.76-1.66),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1.6,0.62,2.59,roundr4,0.39,2.81,1.6(0.39-2.81),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1.93,1.18,1.64,(Intercept),-0.37,4.23,1.93(-0.37-4.23),0.6,1.29,0.46,-1.93,3.12,0.6(-1.93-3.12),-0.34,1.92,-0.18,-4.09,3.41,-0.34(-4.09-3.41),2.9,1.29,2.25,0.38,5.43,2.9(0.38-5.43),3.63,1.92,1.89,-0.13,7.38,3.63(-0.13-7.38)
10,-0.07,1.35,-0.05,age_cat125-34,-2.71,2.58,-0.07(-2.71-2.58),NA,NA,NA,NA,NA,NA,0.32,1.41,0.23,-2.44,3.08,0.32(-2.44-3.08),NA,NA,NA,NA,NA,NA,-0.63,1.4,-0.45,-3.36,2.1,-0.63(-3.36-2.1)
11,0.32,1.33,0.24,age_cat135-44,-2.28,2.92,0.32(-2.28-2.92),NA,NA,NA,NA,NA,NA,0.47,1.38,0.34,-2.23,3.18,0.47(-2.23-3.18),NA,NA,NA,NA,NA,NA,-0.42,1.37,-0.31,-3.1,2.25,-0.42(-3.1-2.25)
12,-0.02,1.32,-0.02,age_cat145-54,-2.61,2.57,-0.02(-2.61-2.57),NA,NA,NA,NA,NA,NA,0.43,1.39,0.31,-2.29,3.15,0.43(-2.29-3.15),NA,NA,NA,NA,NA,NA,-0.56,1.38,-0.41,-3.25,2.13,-0.56(-3.25-2.13)
13,-0.26,1.3,-0.2,age_cat155-64,-2.81,2.28,-0.26(-2.81-2.28),NA,NA,NA,NA,NA,NA,0.11,1.36,0.08,-2.55,2.76,0.11(-2.55-2.76),NA,NA,NA,NA,NA,NA,-1.06,1.34,-0.79,-3.69,1.57,-1.06(-3.69-1.57)
14,-0.26,1.28,-0.2,age_cat165+,-2.76,2.24,-0.26(-2.76-2.24),NA,NA,NA,NA,NA,NA,-0.41,1.37,-0.3,-3.08,2.27,-0.41(-3.08-2.27),NA,NA,NA,NA,NA,NA,-1.99,1.36,-1.47,-4.65,0.66,-1.99(-4.65-0.66)
15,2.25,0.75,3.01,(Intercept),0.78,3.71,2.25(0.78-3.71),0.6,1.29,0.46,-1.93,3.12,0.6(-1.93-3.12),-0.34,1.92,-0.18,-4.09,3.41,-0.34(-4.09-3.41),2.9,1.29,2.25,0.38,5.43,2.9(0.38-5.43),3.63,1.92,1.89,-0.13,7.38,3.63(-0.13-7.38)
16,-0.24,0.8,-0.3,race_eth_i2_NH-White,-1.82,1.34,-0.24(-1.82-1.34),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,-1.07,1.03,-1.03,race_eth_i3_NH-Black,-3.09,0.95,-1.07(-3.09-0.95),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,-1.47,1.33,-1.1,race_eth_i4_NH-Asian,-4.08,1.14,-1.47(-4.08-1.14),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,-1.25,2.05,-0.61,race_eth_i5_NH-Other,-5.27,2.76,-1.25(-5.27-2.76),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1.56,0.39,3.97,(Intercept),0.79,2.33,1.56(0.79-2.33),0.6,1.29,0.46,-1.93,3.12,0.6(-1.93-3.12),-0.34,1.92,-0.18,-4.09,3.41,-0.34(-4.09-3.41),2.9,1.29,2.25,0.38,5.43,2.9(0.38-5.43),3.63,1.92,1.89,-0.13,7.38,3.63(-0.13-7.38)
21,0.91,0.71,1.29,pol_catind,-0.47,2.29,0.91(-0.47-2.29),NA,NA,NA,NA,NA,NA,0.86,0.72,1.2,-0.55,2.27,0.86(-0.55-2.27),NA,NA,NA,NA,NA,NA,0.84,0.71,1.18,-0.55,2.23,0.84(-0.55-2.23)
