"","Estimate.x","Std. Error.x","t value.x","cat","2.5 %.x","97.5 %.x","Estimate.y","Std. Error.y","t value.y","2.5 %.y","97.5 %.y","Estimate.x.x","Std. Error.x.x","t value.x.x","2.5 %.x.x","97.5 %.x.x","Estimate.y.y","Std. Error.y.y","t value.y.y","2.5 %.y.y","97.5 %.y.y","Estimate","Std. Error","t value","2.5 %","97.5 %"
"1",10.68,0.52,20.64,"(Intercept)",9.66,11.69,10.59,0.52,20.43,9.57,11.6,15.42,1.62,9.52,12.26,18.59,7.24,0.53,13.78,6.21,8.27,10.39,1.57,6.63,7.33,13.46
"2",-0.79,0.85,-0.92,"vax_cata1_first_new",-2.47,0.89,-1.25,0.86,-1.44,-2.94,0.44,0.46,0.86,0.53,-1.23,2.16,-0.63,0.84,-0.75,-2.28,1.02,0.7,0.85,0.83,-0.96,2.37
"3",0.24,0.62,0.39,"vax_cata2_both_new",-0.98,1.46,-1.1,0.69,-1.59,-2.46,0.26,0.66,0.71,0.92,-0.74,2.06,-0.74,0.68,-1.09,-2.06,0.58,0.65,0.7,0.92,-0.73,2.02
"4",1.7,0.9,1.89,"vax_cata2_second_new",-0.07,3.47,-0.61,1.09,-0.56,-2.74,1.52,2.28,1.11,2.06,0.12,4.45,0.31,1.05,0.29,-1.75,2.37,2.52,1.08,2.32,0.4,4.64
"5",3.15,0.59,5.34,"vax_cata3_full_vax",1.99,4.3,-1.23,0.95,-1.29,-3.09,0.65,1.97,1.01,1.96,0,3.94,-0.51,0.91,-0.56,-2.3,1.28,1.95,0.98,1.99,0.04,3.86
"6",10,0.4,24.83,"(Intercept)",9.21,10.78,10.59,0.52,20.43,9.57,11.6,15.42,1.62,9.52,12.26,18.59,7.24,0.53,13.78,6.21,8.27,10.39,1.57,6.63,7.33,13.46
"7",1.61,0.46,3.5,"roundr3",0.71,2.51,1.95,0.63,3.11,0.72,3.18,0.67,0.64,1.04,-0.59,1.93,1.63,0.62,2.65,0.42,2.84,0.67,0.64,1.05,-0.58,1.91
"8",4.38,0.46,9.5,"roundr4",3.47,5.28,4.9,0.81,6.03,3.31,6.5,2.82,0.84,3.34,1.17,4.48,4.48,0.79,5.66,2.93,6.03,2.88,0.83,3.47,1.25,4.5
"9",16.27,1.38,11.81,"(Intercept)",13.57,18.97,10.59,0.52,20.43,9.57,11.6,15.42,1.62,9.52,12.26,18.59,7.24,0.53,13.78,6.21,8.27,10.39,1.57,6.63,7.33,13.46
"10",-1.26,1.58,-0.8,"age_cat125-34",-4.37,1.84,NA,NA,NA,NA,NA,-1.57,1.57,-1,-4.65,1.5,NA,NA,NA,NA,NA,-0.37,1.49,-0.25,-3.29,2.54
"11",-1.94,1.55,-1.25,"age_cat135-44",-4.98,1.11,NA,NA,NA,NA,NA,-2.5,1.54,-1.62,-5.52,0.52,NA,NA,NA,NA,NA,-1.38,1.46,-0.94,-4.24,1.48
"12",-2.72,1.55,-1.75,"age_cat145-54",-5.75,0.32,NA,NA,NA,NA,NA,-2.96,1.55,-1.9,-5.99,0.08,NA,NA,NA,NA,NA,-1.67,1.47,-1.14,-4.55,1.2
"13",-4.8,1.52,-3.15,"age_cat155-64",-7.78,-1.82,NA,NA,NA,NA,NA,-3.75,1.52,-2.47,-6.72,-0.79,NA,NA,NA,NA,NA,-2.25,1.44,-1.56,-5.06,0.56
"14",-8.88,1.5,-5.93,"age_cat165+",-11.81,-5.95,NA,NA,NA,NA,NA,-6.08,1.53,-3.97,-9.07,-3.08,NA,NA,NA,NA,NA,-3.92,1.46,-2.69,-6.77,-1.07
"15",12.18,0.89,13.65,"(Intercept)",10.43,13.92,10.59,0.52,20.43,9.57,11.6,15.42,1.62,9.52,12.26,18.59,7.24,0.53,13.78,6.21,8.27,10.39,1.57,6.63,7.33,13.46
"16",-0.13,0.96,-0.14,"race_eth_i2_NH-White",-2.02,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",0.06,1.23,0.05,"race_eth_i3_NH-Black",-2.35,2.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",-1.6,1.59,-1,"race_eth_i4_NH-Asian",-4.72,1.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",-0.94,2.45,-0.38,"race_eth_i5_NH-Other",-5.75,3.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",10.48,0.47,22.4,"(Intercept)",9.56,11.39,10.59,0.52,20.43,9.57,11.6,15.42,1.62,9.52,12.26,18.59,7.24,0.53,13.78,6.21,8.27,10.39,1.57,6.63,7.33,13.46
"21",2.11,0.84,2.51,"pol_catind",0.46,3.76,NA,NA,NA,NA,NA,1.94,0.81,2.38,0.35,3.53,NA,NA,NA,NA,NA,1.88,0.77,2.44,0.38,3.39
"22",2.15,0.89,2.41,"pol_catrep",0.4,3.89,NA,NA,NA,NA,NA,2.38,0.88,2.72,0.67,4.1,NA,NA,NA,NA,NA,1.92,0.83,2.32,0.3,3.54
"23",3.23,0.77,4.2,"pol_catunk",1.72,4.74,NA,NA,NA,NA,NA,1.73,0.76,2.26,0.24,3.22,NA,NA,NA,NA,NA,1.32,0.72,1.82,-0.09,2.74
"24",10.07,0.58,17.28,"(Intercept)",8.93,11.22,10.59,0.52,20.43,9.57,11.6,15.42,1.62,9.52,12.26,18.59,7.24,0.53,13.78,6.21,8.27,10.39,1.57,6.63,7.33,13.46
"25",2.2,0.69,3.19,"hh_cat2-4",0.85,3.55,NA,NA,NA,NA,NA,1.36,0.68,2.01,0.04,2.67,NA,NA,NA,NA,NA,0.95,0.64,1.48,-0.3,2.2
"26",7.22,1.35,5.34,"hh_cat5+",4.57,9.86,NA,NA,NA,NA,NA,4.1,1.37,2.99,1.42,6.78,NA,NA,NA,NA,NA,3.63,1.3,2.8,1.09,6.16
"27",12.26,0.38,32.01,"(Intercept)",11.51,13.01,10.59,0.52,20.43,9.57,11.6,15.42,1.62,9.52,12.26,18.59,7.24,0.53,13.78,6.21,8.27,10.39,1.57,6.63,7.33,13.46
"28",-0.7,0.62,-1.13,"gender_iMale",-1.93,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",12.65,0.44,28.99,"(Intercept)",11.79,13.5,10.59,0.52,20.43,9.57,11.6,15.42,1.62,9.52,12.26,18.59,7.24,0.53,13.78,6.21,8.27,10.39,1.57,6.63,7.33,13.46
"30",-1.26,0.6,-2.08,"comorb_catY",-2.44,-0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",17.22,0.46,37.64,"(Intercept)",16.32,18.12,10.59,0.52,20.43,9.57,11.6,15.42,1.62,9.52,12.26,18.59,7.24,0.53,13.78,6.21,8.27,10.39,1.57,6.63,7.33,13.46
"32",-8.25,0.79,-10.39,"emp_catemp_noleave",-9.81,-6.7,NA,NA,NA,NA,NA,-7.66,0.8,-9.57,-9.22,-6.09,NA,NA,NA,NA,NA,-5.14,0.77,-6.66,-6.65,-3.63
"33",-9.4,0.66,-14.29,"emp_catno_emp",-10.69,-8.11,NA,NA,NA,NA,NA,-7.83,0.75,-10.45,-9.3,-6.37,NA,NA,NA,NA,NA,-5.37,0.73,-7.39,-6.78,-3.95
"34",-9.08,3.04,-2.99,"emp_catunk",-15.04,-3.13,NA,NA,NA,NA,NA,-9.23,3.03,-3.04,-15.16,-3.31,NA,NA,NA,NA,NA,-6.83,2.88,-2.37,-12.45,-1.21
"35",8.88,0.32,28.02,"(Intercept)",8.26,9.5,10.59,0.52,20.43,9.57,11.6,15.42,1.62,9.52,12.26,18.59,7.24,0.53,13.78,6.21,8.27,10.39,1.57,6.63,7.33,13.46
