"","Estimate.x","Std. Error.x","t value.x","cat","lo_2.5.x","hi_97.5.x","est.x","Estimate.y","Std. Error.y","t value.y","lo_2.5.y","hi_97.5.y","est.y","Estimate.x.x","Std. Error.x.x","t value.x.x","lo_2.5.x.x","hi_97.5.x.x","est.x.x","Estimate.y.y","Std. Error.y.y","t value.y.y","lo_2.5.y.y","hi_97.5.y.y","est.y.y","Estimate","Std. Error","t value","lo_2.5","hi_97.5","est"
"1",10.68,0.52,20.64,"(Intercept)",9.66,11.69,"10.68(9.66-11.69)",13.7,1.23,11.11,11.29,16.12,"13.7(11.29-16.12)",17.66,1.99,8.88,13.77,21.55,"17.66(13.77-21.55)",9.85,1.21,8.16,7.49,12.22,"9.85(7.49-12.22)",12.46,1.94,6.43,8.68,16.25,"12.46(8.68-16.25)"
"2",-0.79,0.85,-0.92,"vax_cata1_first_new",-2.47,0.89,"-0.79(-2.47-0.89)",-0.97,0.86,-1.12,-2.66,0.72,"-0.97(-2.66-0.72)",0.38,0.86,0.44,-1.31,2.08,"0.38(-1.31-2.08)",-0.38,0.85,-0.45,-2.04,1.27,"-0.38(-2.04-1.27)",0.67,0.85,0.79,-0.99,2.34,"0.67(-0.99-2.34)"
"3",0.24,0.62,0.39,"vax_cata2_both_new",-0.98,1.46,"0.24(-0.98-1.46)",-0.62,0.67,-0.93,-1.94,0.69,"-0.62(-1.94-0.69)",0.7,0.68,1.02,-0.64,2.03,"0.7(-0.64-2.03)",-0.29,0.66,-0.45,-1.58,0.99,"-0.29(-1.58-0.99)",0.75,0.67,1.12,-0.57,2.07,"0.75(-0.57-2.07)"
"4",1.7,0.9,1.89,"vax_cata2_second_new",-0.07,3.47,"1.7(-0.07-3.47)",-0.18,1.02,-0.18,-2.17,1.81,"-0.18(-2.17-1.81)",1.97,1.03,1.92,-0.03,3.98,"1.97(-0.03-3.98)",0.72,0.99,0.72,-1.22,2.65,"0.72(-1.22-2.65)",2.34,1.01,2.32,0.37,4.31,"2.34(0.37-4.31)"
"5",3.15,0.59,5.34,"vax_cata3_full_vax",1.99,4.3,"3.15(1.99-4.3)",-0.04,0.81,-0.06,-1.63,1.54,"-0.04(-1.63-1.54)",2.31,0.84,2.76,0.67,3.95,"2.31(0.67-3.95)",0.74,0.78,0.95,-0.79,2.26,"0.74(-0.79-2.26)",2.52,0.82,3.08,0.92,4.12,"2.52(0.92-4.12)"
"6",10,0.4,24.83,"(Intercept)",9.21,10.78,"10(9.21-10.78)",13.7,1.23,11.11,11.29,16.12,"13.7(11.29-16.12)",17.66,1.99,8.88,13.77,21.55,"17.66(13.77-21.55)",9.85,1.21,8.16,7.49,12.22,"9.85(7.49-12.22)",12.46,1.94,6.43,8.68,16.25,"12.46(8.68-16.25)"
"7",1.61,0.46,3.5,"roundr3",0.71,2.51,"1.61(0.71-2.51)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",4.38,0.46,9.5,"roundr4",3.47,5.28,"4.38(3.47-5.28)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",16.27,1.38,11.81,"(Intercept)",13.57,18.97,"16.27(13.57-18.97)",13.7,1.23,11.11,11.29,16.12,"13.7(11.29-16.12)",17.66,1.99,8.88,13.77,21.55,"17.66(13.77-21.55)",9.85,1.21,8.16,7.49,12.22,"9.85(7.49-12.22)",12.46,1.94,6.43,8.68,16.25,"12.46(8.68-16.25)"
"10",-1.26,1.58,-0.8,"age_cat125-34",-4.37,1.84,"-1.26(-4.37-1.84)",NA,NA,NA,NA,NA,NA,-1.69,1.6,-1.06,-4.81,1.42,"-1.69(-4.81-1.42)",NA,NA,NA,NA,NA,NA,-0.47,1.52,-0.31,-3.43,2.5,"-0.47(-3.43-2.5)"
"11",-1.94,1.55,-1.25,"age_cat135-44",-4.98,1.11,"-1.94(-4.98-1.11)",NA,NA,NA,NA,NA,NA,-2.79,1.56,-1.78,-5.84,0.27,"-2.79(-5.84-0.27)",NA,NA,NA,NA,NA,NA,-1.63,1.49,-1.1,-4.54,1.27,"-1.63(-4.54-1.27)"
"12",-2.72,1.55,-1.75,"age_cat145-54",-5.75,0.32,"-2.72(-5.75-0.32)",NA,NA,NA,NA,NA,NA,-2.9,1.57,-1.85,-5.98,0.17,"-2.9(-5.98-0.17)",NA,NA,NA,NA,NA,NA,-1.62,1.5,-1.08,-4.54,1.3,"-1.62(-4.54-1.3)"
"13",-4.8,1.52,-3.15,"age_cat155-64",-7.78,-1.82,"-4.8(-7.78--1.82)",NA,NA,NA,NA,NA,NA,-3.71,1.54,-2.42,-6.71,-0.71,"-3.71(-6.71--0.71)",NA,NA,NA,NA,NA,NA,-2.21,1.46,-1.51,-5.06,0.64,"-2.21(-5.06-0.64)"
"14",-8.88,1.5,-5.93,"age_cat165+",-11.81,-5.95,"-8.88(-11.81--5.95)",NA,NA,NA,NA,NA,NA,-6.21,1.54,-4.03,-9.23,-3.2,"-6.21(-9.23--3.2)",NA,NA,NA,NA,NA,NA,-4.13,1.47,-2.81,-7,-1.26,"-4.13(-7--1.26)"
