"","Estimate.x","Std. Error.x","t value.x","cat","2.5 %.x","97.5 %.x","Estimate.y","Std. Error.y","t value.y","2.5 %.y","97.5 %.y","Estimate.x.x","Std. Error.x.x","t value.x.x","2.5 %.x.x","97.5 %.x.x","Estimate.y.y","Std. Error.y.y","t value.y.y","2.5 %.y.y","97.5 %.y.y","Estimate.x.x.x","Std. Error.x.x.x","t value.x.x.x","2.5 %.x.x.x","97.5 %.x.x.x","Estimate.y.y.y","Std. Error.y.y.y","t value.y.y.y","2.5 %.y.y.y","97.5 %.y.y.y","Estimate","Std. Error","t value","2.5 %","97.5 %"
"1",0.09,0.39,0.22,"(Intercept)",-0.67,0.84,0.08,0.41,0.19,-0.72,0.88,-1.63,1.04,-1.57,-3.68,0.41,0.56,0.41,1.36,-0.25,1.38,-0.93,1.05,-0.89,-2.97,1.12,0.61,0.39,1.55,-0.16,1.38,-0.83,1.04,-0.8,-2.86,1.2
"2",0.16,0.7,0.23,"vax_cata1_first_new",-1.21,1.54,0.12,0.7,0.17,-1.25,1.5,0.01,0.71,0.01,-1.39,1.4,-0.01,0.7,-0.01,-1.38,1.36,-0.11,0.71,-0.15,-1.5,1.28,0.04,0.7,0.05,-1.33,1.41,-0.05,0.71,-0.08,-1.44,1.33
"3",1.07,0.54,1.97,"vax_cata2_both_new",0.01,2.13,0.9,0.56,1.59,-0.21,2,0.71,0.59,1.2,-0.44,1.86,0.75,0.56,1.33,-0.36,1.85,0.56,0.59,0.96,-0.58,1.71,0.95,0.54,1.76,-0.11,2,0.83,0.55,1.49,-0.26,1.91
"4",1.87,0.75,2.49,"vax_cata2_second_new",0.4,3.33,1.6,0.85,1.9,-0.05,3.26,1.32,0.88,1.51,-0.4,3.04,1.35,0.84,1.6,-0.31,3,1.09,0.87,1.25,-0.62,2.8,1.71,0.75,2.29,0.24,3.17,1.6,0.75,2.13,0.13,3.08
"5",0.6,0.48,1.24,"vax_cata3_full_vax",-0.35,1.55,1.01,0.67,1.51,-0.3,2.32,0.62,0.74,0.85,-0.82,2.07,0.72,0.67,1.09,-0.58,2.03,0.36,0.74,0.49,-1.08,1.8,0.45,0.48,0.92,-0.5,1.39,0.25,0.51,0.5,-0.74,1.25
"6",0.38,0.31,1.22,"(Intercept)",-0.23,0.99,0.08,0.41,0.19,-0.72,0.88,-1.63,1.04,-1.57,-3.68,0.41,0.56,0.41,1.36,-0.25,1.38,-0.93,1.05,-0.89,-2.97,1.12,0.61,0.39,1.55,-0.16,1.38,-0.83,1.04,-0.8,-2.86,1.2
"7",1.09,0.44,2.48,"roundr3",0.23,1.96,0.47,0.54,0.86,-0.59,1.53,0.69,0.56,1.23,-0.4,1.78,0.59,0.54,1.1,-0.47,1.65,0.8,0.56,1.44,-0.29,1.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",-0.08,0.44,-0.18,"roundr4",-0.95,0.79,-0.73,0.66,-1.1,-2.02,0.57,-0.48,0.7,-0.69,-1.84,0.89,-0.54,0.66,-0.82,-1.83,0.75,-0.31,0.69,-0.44,-1.67,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",-0.34,0.84,-0.41,"(Intercept)",-1.99,1.3,0.08,0.41,0.19,-0.72,0.88,-1.63,1.04,-1.57,-3.68,0.41,0.56,0.41,1.36,-0.25,1.38,-0.93,1.05,-0.89,-2.97,1.12,0.61,0.39,1.55,-0.16,1.38,-0.83,1.04,-0.8,-2.86,1.2
"10",0.63,0.97,0.65,"age_cat125-34",-1.26,2.52,NA,NA,NA,NA,NA,0.71,0.98,0.73,-1.21,2.63,NA,NA,NA,NA,NA,0.47,0.98,0.48,-1.44,2.39,NA,NA,NA,NA,NA,0.48,0.98,0.49,-1.44,2.39
