"","Estimate.x","Std. Error.x","t value.x","cat","lo_2.5.x","hi_97.5.x","est.x","Estimate.y","Std. Error.y","t value.y","lo_2.5.y","hi_97.5.y","est.y","Estimate.x.x","Std. Error.x.x","t value.x.x","lo_2.5.x.x","hi_97.5.x.x","est.x.x","Estimate.y.y","Std. Error.y.y","t value.y.y","lo_2.5.y.y","hi_97.5.y.y","est.y.y","Estimate","Std. Error","t value","lo_2.5","hi_97.5","est"
"1",0.09,0.39,0.22,"(Intercept)",-0.67,0.84,"0.09(-0.67-0.84)",0.68,0.92,0.74,-1.13,2.48,"0.68(-1.13-2.48)",-0.72,1.36,-0.53,-3.38,1.94,"-0.72(-3.38-1.94)",1.25,0.93,1.35,-0.56,3.07,"1.25(-0.56-3.07)",0.06,1.36,0.04,-2.61,2.73,"0.06(-2.61-2.73)"
"2",0.16,0.7,0.23,"vax_cata1_first_new",-1.21,1.54,"0.16(-1.21-1.54)",0.2,0.71,0.28,-1.19,1.59,"0.2(-1.19-1.59)",0.06,0.72,0.09,-1.34,1.46,"0.06(-1.34-1.46)",0.11,0.71,0.16,-1.27,1.5,"0.11(-1.27-1.5)",-0.02,0.71,-0.03,-1.42,1.38,"-0.02(-1.42-1.38)"
"3",1.07,0.54,1.97,"vax_cata2_both_new",0.01,2.13,"1.07(0.01-2.13)",1.11,0.56,1.99,0.02,2.21,"1.11(0.02-2.21)",0.92,0.58,1.59,-0.21,2.04,"0.92(-0.21-2.04)",1.02,0.56,1.82,-0.08,2.11,"1.02(-0.08-2.11)",0.82,0.57,1.42,-0.31,1.94,"0.82(-0.31-1.94)"
"4",1.87,0.75,2.49,"vax_cata2_second_new",0.4,3.33,"1.87(0.4-3.33)",1.87,0.8,2.34,0.31,3.44,"1.87(0.31-3.44)",1.59,0.82,1.94,-0.01,3.2,"1.59(-0.01-3.2)",1.7,0.8,2.12,0.13,3.26,"1.7(0.13-3.26)",1.42,0.82,1.74,-0.18,3.03,"1.42(-0.18-3.03)"
"5",0.6,0.48,1.24,"vax_cata3_full_vax",-0.35,1.55,"0.6(-0.35-1.55)",0.65,0.58,1.11,-0.49,1.8,"0.65(-0.49-1.8)",0.33,0.63,0.52,-0.9,1.56,"0.33(-0.9-1.56)",0.46,0.58,0.78,-0.69,1.6,"0.46(-0.69-1.6)",0.14,0.63,0.22,-1.09,1.37,"0.14(-1.09-1.37)"
"6",0.38,0.31,1.22,"(Intercept)",-0.23,0.99,"0.38(-0.23-0.99)",0.68,0.92,0.74,-1.13,2.48,"0.68(-1.13-2.48)",-0.72,1.36,-0.53,-3.38,1.94,"-0.72(-3.38-1.94)",1.25,0.93,1.35,-0.56,3.07,"1.25(-0.56-3.07)",0.06,1.36,0.04,-2.61,2.73,"0.06(-2.61-2.73)"
"7",1.09,0.44,2.48,"roundr3",0.23,1.96,"1.09(0.23-1.96)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",-0.08,0.44,-0.18,"roundr4",-0.95,0.79,"-0.08(-0.95-0.79)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",-0.34,0.84,-0.41,"(Intercept)",-1.99,1.3,"-0.34(-1.99-1.3)",0.68,0.92,0.74,-1.13,2.48,"0.68(-1.13-2.48)",-0.72,1.36,-0.53,-3.38,1.94,"-0.72(-3.38-1.94)",1.25,0.93,1.35,-0.56,3.07,"1.25(-0.56-3.07)",0.06,1.36,0.04,-2.61,2.73,"0.06(-2.61-2.73)"
"10",0.63,0.97,0.65,"age_cat125-34",-1.26,2.52,"0.63(-1.26-2.52)",NA,NA,NA,NA,NA,NA,0.77,1,0.77,-1.19,2.73,"0.77(-1.19-2.73)",NA,NA,NA,NA,NA,NA,0.56,1,0.56,-1.39,2.52,"0.56(-1.39-2.52)"
"11",0.9,0.95,0.95,"age_cat135-44",-0.96,2.75,"0.9(-0.96-2.75)",NA,NA,NA,NA,NA,NA,0.96,0.98,0.97,-0.96,2.88,"0.96(-0.96-2.88)",NA,NA,NA,NA,NA,NA,0.87,0.98,0.88,-1.05,2.78,"0.87(-1.05-2.78)"
"12",0.8,0.94,0.85,"age_cat145-54",-1.05,2.66,"0.8(-1.05-2.66)",NA,NA,NA,NA,NA,NA,0.98,0.99,0.99,-0.95,2.91,"0.98(-0.95-2.91)",NA,NA,NA,NA,NA,NA,0.77,0.99,0.79,-1.15,2.7,"0.77(-1.15-2.7)"
"13",1.17,0.93,1.26,"age_cat155-64",-0.65,2.99,"1.17(-0.65-2.99)",NA,NA,NA,NA,NA,NA,1.42,0.96,1.47,-0.47,3.3,"1.42(-0.47-3.3)",NA,NA,NA,NA,NA,NA,1.22,0.96,1.27,-0.66,3.1,"1.22(-0.66-3.1)"
"14",1.68,0.91,1.85,"age_cat165+",-0.1,3.47,"1.68(-0.1-3.47)",NA,NA,NA,NA,NA,NA,1.8,0.97,1.86,-0.09,3.7,"1.8(-0.09-3.7)",NA,NA,NA,NA,NA,NA,1.6,0.97,1.65,-0.3,3.49,"1.6(-0.3-3.49)"
"15",0.45,0.53,0.84,"(Intercept)",-0.6,1.49,"0.45(-0.6-1.49)",0.68,0.92,0.74,-1.13,2.48,"0.68(-1.13-2.48)",-0.72,1.36,-0.53,-3.38,1.94,"-0.72(-3.38-1.94)",1.25,0.93,1.35,-0.56,3.07,"1.25(-0.56-3.07)",0.06,1.36,0.04,-2.61,2.73,"0.06(-2.61-2.73)"
"16",0.4,0.58,0.69,"race_eth_i2_NH-White",-0.73,1.52,"0.4(-0.73-1.52)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",0.19,0.74,0.26,"race_eth_i3_NH-Black",-1.26,1.63,"0.19(-1.26-1.63)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",-0.38,0.95,-0.4,"race_eth_i4_NH-Asian",-2.24,1.48,"-0.38(-2.24-1.48)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",-0.12,1.47,-0.08,"race_eth_i5_NH-Other",-2.99,2.75,"-0.12(-2.99-2.75)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",0.42,0.28,1.51,"(Intercept)",-0.13,0.97,"0.42(-0.13-0.97)",0.68,0.92,0.74,-1.13,2.48,"0.68(-1.13-2.48)",-0.72,1.36,-0.53,-3.38,1.94,"-0.72(-3.38-1.94)",1.25,0.93,1.35,-0.56,3.07,"1.25(-0.56-3.07)",0.06,1.36,0.04,-2.61,2.73,"0.06(-2.61-2.73)"
"21",0.29,0.5,0.57,"pol_catind",-0.7,1.28,"0.29(-0.7-1.28)",NA,NA,NA,NA,NA,NA,0.21,0.51,0.42,-0.79,1.21,"0.21(-0.79-1.21)",NA,NA,NA,NA,NA,NA,0.23,0.51,0.45,-0.77,1.23,"0.23(-0.77-1.23)"
"22",0.78,0.53,1.46,"pol_catrep",-0.27,1.83,"0.78(-0.27-1.83)",NA,NA,NA,NA,NA,NA,0.58,0.56,1.04,-0.51,1.66,"0.58(-0.51-1.66)",NA,NA,NA,NA,NA,NA,0.65,0.56,1.17,-0.44,1.73,"0.65(-0.44-1.73)"
"23",0.5,0.46,1.08,"pol_catunk",-0.4,1.4,"0.5(-0.4-1.4)",NA,NA,NA,NA,NA,NA,0.55,0.48,1.14,-0.4,1.5,"0.55(-0.4-1.5)",NA,NA,NA,NA,NA,NA,0.53,0.48,1.09,-0.42,1.48,"0.53(-0.42-1.48)"
"24",0.49,0.35,1.41,"(Intercept)",-0.19,1.18,"0.49(-0.19-1.18)",0.68,0.92,0.74,-1.13,2.48,"0.68(-1.13-2.48)",-0.72,1.36,-0.53,-3.38,1.94,"-0.72(-3.38-1.94)",1.25,0.93,1.35,-0.56,3.07,"1.25(-0.56-3.07)",0.06,1.36,0.04,-2.61,2.73,"0.06(-2.61-2.73)"
"25",0.28,0.41,0.68,"hh_cat2-4",-0.53,1.09,"0.28(-0.53-1.09)",NA,NA,NA,NA,NA,NA,0.58,0.42,1.38,-0.24,1.41,"0.58(-0.24-1.41)",NA,NA,NA,NA,NA,NA,0.55,0.42,1.31,-0.27,1.38,"0.55(-0.27-1.38)"
"26",0.62,0.81,0.76,"hh_cat5+",-0.97,2.21,"0.62(-0.97-2.21)",NA,NA,NA,NA,NA,NA,1.08,0.87,1.24,-0.62,2.77,"1.08(-0.62-2.77)",NA,NA,NA,NA,NA,NA,1.02,0.86,1.18,-0.67,2.71,"1.02(-0.67-2.71)"
"27",0.66,0.23,2.89,"(Intercept)",0.21,1.11,"0.66(0.21-1.11)",0.68,0.92,0.74,-1.13,2.48,"0.68(-1.13-2.48)",-0.72,1.36,-0.53,-3.38,1.94,"-0.72(-3.38-1.94)",1.25,0.93,1.35,-0.56,3.07,"1.25(-0.56-3.07)",0.06,1.36,0.04,-2.61,2.73,"0.06(-2.61-2.73)"
"28",0.16,0.37,0.42,"gender_iMale",-0.57,0.89,"0.16(-0.57-0.89)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",0.67,0.26,2.57,"(Intercept)",0.16,1.18,"0.67(0.16-1.18)",0.68,0.92,0.74,-1.13,2.48,"0.68(-1.13-2.48)",-0.72,1.36,-0.53,-3.38,1.94,"-0.72(-3.38-1.94)",1.25,0.93,1.35,-0.56,3.07,"1.25(-0.56-3.07)",0.06,1.36,0.04,-2.61,2.73,"0.06(-2.61-2.73)"
"30",0.09,0.36,0.26,"comorb_catY",-0.61,0.8,"0.09(-0.61-0.8)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",0.59,0.28,2.08,"(Intercept)",0.03,1.14,"0.59(0.03-1.14)",0.68,0.92,0.74,-1.13,2.48,"0.68(-1.13-2.48)",-0.72,1.36,-0.53,-3.38,1.94,"-0.72(-3.38-1.94)",1.25,0.93,1.35,-0.56,3.07,"1.25(-0.56-3.07)",0.06,1.36,0.04,-2.61,2.73,"0.06(-2.61-2.73)"
"32",-0.06,0.49,-0.12,"emp_catemp_noleave",-1.02,0.9,"-0.06(-1.02-0.9)",NA,NA,NA,NA,NA,NA,-0.05,0.5,-0.11,-1.03,0.93,"-0.05(-1.03-0.93)",NA,NA,NA,NA,NA,NA,-0.04,0.5,-0.08,-1.02,0.94,"-0.04(-1.02-0.94)"
"33",0.34,0.41,0.83,"emp_catno_emp",-0.46,1.13,"0.34(-0.46-1.13)",NA,NA,NA,NA,NA,NA,-0.1,0.47,-0.22,-1.02,0.82,"-0.1(-1.02-0.82)",NA,NA,NA,NA,NA,NA,-0.15,0.47,-0.32,-1.07,0.77,"-0.15(-1.07-0.77)"
"34",-0.69,1.88,-0.37,"emp_catunk",-4.38,2.99,"-0.69(-4.38-2.99)",NA,NA,NA,NA,NA,NA,-0.9,1.88,-0.48,-4.58,2.78,"-0.9(-4.58-2.78)",NA,NA,NA,NA,NA,NA,-0.98,1.88,-0.52,-4.65,2.69,"-0.98(-4.65-2.69)"
"35",1.14,0.19,5.99,"(Intercept)",0.77,1.51,"1.14(0.77-1.51)",0.68,0.92,0.74,-1.13,2.48,"0.68(-1.13-2.48)",-0.72,1.36,-0.53,-3.38,1.94,"-0.72(-3.38-1.94)",1.25,0.93,1.35,-0.56,3.07,"1.25(-0.56-3.07)",0.06,1.36,0.04,-2.61,2.73,"0.06(-2.61-2.73)"
"36",-0.16,0.02,-6.85,"oth_cont_r1",-0.2,-0.11,"-0.16(-0.2--0.11)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.12,0.02,-5.09,-0.16,-0.07,"-0.12(-0.16--0.07)",-0.12,0.02,-5.2,-0.17,-0.08,"-0.12(-0.17--0.08)"
"37",1.46,0.55,2.68,"(Intercept)",0.39,2.53,"1.46(0.39-2.53)",0.68,0.92,0.74,-1.13,2.48,"0.68(-1.13-2.48)",-0.72,1.36,-0.53,-3.38,1.94,"-0.72(-3.38-1.94)",1.25,0.93,1.35,-0.56,3.07,"1.25(-0.56-3.07)",0.06,1.36,0.04,-2.61,2.73,"0.06(-2.61-2.73)"
"38",-1.02,0.61,-1.68,"variant_worry2",-2.22,0.17,"-1.02(-2.22-0.17)",-0.96,0.61,-1.58,-2.16,0.23,"-0.96(-2.16-0.23)",-1.05,0.62,-1.7,-2.25,0.16,"-1.05(-2.25-0.16)",-1.01,0.61,-1.66,-2.21,0.18,"-1.01(-2.21-0.18)",-1.08,0.62,-1.76,-2.29,0.12,"-1.08(-2.29-0.12)"
"39",-0.61,0.62,-0.98,"variant_worry3",-1.83,0.61,"-0.61(-1.83-0.61)",-0.43,0.63,-0.69,-1.66,0.79,"-0.43(-1.66-0.79)",-0.73,0.64,-1.14,-1.98,0.52,"-0.73(-1.98-0.52)",-0.45,0.63,-0.73,-1.68,0.77,"-0.45(-1.68-0.77)",-0.74,0.64,-1.16,-1.99,0.51,"-0.74(-1.99-0.51)"
"40",-0.96,1.06,-0.91,"variant_worry4",-3.03,1.11,"-0.96(-3.03-1.11)",-0.86,1.07,-0.8,-2.96,1.24,"-0.86(-2.96-1.24)",-1.09,1.07,-1.02,-3.19,1.01,"-1.09(-3.19-1.01)",-0.88,1.07,-0.82,-2.97,1.22,"-0.88(-2.97-1.22)",-1.12,1.07,-1.04,-3.22,0.98,"-1.12(-3.22-0.98)"
"41",0.45,1.15,0.4,"variant_worry5",-1.79,2.7,"0.45(-1.79-2.7)",0.6,1.16,0.52,-1.67,2.87,"0.6(-1.67-2.87)",0.67,1.17,0.58,-1.61,2.95,"0.67(-1.61-2.95)",0.67,1.16,0.58,-1.6,2.94,"0.67(-1.6-2.94)",0.75,1.16,0.65,-1.52,3.03,"0.75(-1.52-3.03)"
