"","Estimate.x","Std. Error.x","t value.x","cat","lo_2.5.x","hi_97.5.x","est.x","Estimate.y","Std. Error.y","t value.y","lo_2.5.y","hi_97.5.y","est.y"
"1",0.43,0.51,0.84,"(Intercept)",-0.57,1.43,"0.43(-0.57-1.43)",1.36,1.46,0.93,-1.5,4.22,"1.36(-1.5-4.22)"
"2",0.54,0.93,0.59,"vax_cata1_first_new",-1.27,2.36,"0.54(-1.27-2.36)",0.17,0.72,0.23,-1.24,1.57,"0.17(-1.24-1.57)"
"3",0.07,0.71,0.1,"vax_cata2_both_new",-1.33,1.47,"0.07(-1.33-1.47)",0.99,0.58,1.72,-0.14,2.13,"0.99(-0.14-2.13)"
"4",1.04,0.99,1.06,"vax_cata2_second_new",-0.89,2.98,"1.04(-0.89-2.98)",1.68,0.83,2.04,0.07,3.3,"1.68(0.07-3.3)"
"5",1.35,0.64,2.12,"vax_cata3_full_vax",0.1,2.61,"1.35(0.1-2.61)",0.43,0.64,0.68,-0.82,1.68,"0.43(-0.82-1.68)"
"6",0.57,0.41,1.39,"(Intercept)",-0.24,1.38,"0.57(-0.24-1.38)",1.36,1.46,0.93,-1.5,4.22,"1.36(-1.5-4.22)"
"7",0.12,0.58,0.21,"roundr3",-1.02,1.26,"0.12(-1.02-1.26)",NA,NA,NA,NA,NA,NA
"8",1.45,0.58,2.48,"roundr4",0.3,2.59,"1.45(0.3-2.59)",NA,NA,NA,NA,NA,NA
"9",1.66,1.11,1.5,"(Intercept)",-0.51,3.84,"1.66(-0.51-3.84)",1.36,1.46,0.93,-1.5,4.22,"1.36(-1.5-4.22)"
"10",-0.16,1.27,-0.12,"age_cat125-34",-2.65,2.34,"-0.16(-2.65-2.34)",0.55,1,0.55,-1.41,2.51,"0.55(-1.41-2.51)"
"11",0.22,1.25,0.17,"age_cat135-44",-2.23,2.67,"0.22(-2.23-2.67)",0.84,0.98,0.86,-1.08,2.77,"0.84(-1.08-2.77)"
"12",-0.16,1.25,-0.13,"age_cat145-54",-2.6,2.28,"-0.16(-2.6-2.28)",0.81,0.99,0.82,-1.12,2.74,"0.81(-1.12-2.74)"
"13",-0.86,1.22,-0.7,"age_cat155-64",-3.26,1.54,"-0.86(-3.26-1.54)",1.29,0.96,1.34,-0.59,3.18,"1.29(-0.59-3.18)"
"14",-1.46,1.2,-1.21,"age_cat165+",-3.81,0.9,"-1.46(-3.81-0.9)",1.67,0.97,1.72,-0.23,3.57,"1.67(-0.23-3.57)"
"15",1.88,0.7,2.67,"(Intercept)",0.5,3.26,"1.88(0.5-3.26)",1.36,1.46,0.93,-1.5,4.22,"1.36(-1.5-4.22)"
"16",-0.79,0.76,-1.04,"race_eth_i2_NH-White",-2.28,0.7,"-0.79(-2.28-0.7)",NA,NA,NA,NA,NA,NA
"17",-1.1,0.97,-1.13,"race_eth_i3_NH-Black",-3,0.81,"-1.1(-3-0.81)",NA,NA,NA,NA,NA,NA
"18",-1.35,1.26,-1.08,"race_eth_i4_NH-Asian",-3.81,1.11,"-1.35(-3.81-1.11)",NA,NA,NA,NA,NA,NA
"19",-1.82,1.93,-0.94,"race_eth_i5_NH-Other",-5.61,1.97,"-1.82(-5.61-1.97)",NA,NA,NA,NA,NA,NA
"20",1.2,0.37,3.25,"(Intercept)",0.48,1.93,"1.2(0.48-1.93)",1.36,1.46,0.93,-1.5,4.22,"1.36(-1.5-4.22)"
"21",0.37,0.67,0.56,"pol_catind",-0.93,1.68,"0.37(-0.93-1.68)",0.16,0.51,0.32,-0.83,1.16,"0.16(-0.83-1.16)"
"22",-0.16,0.71,-0.23,"pol_catrep",-1.54,1.22,"-0.16(-1.54-1.22)",0.4,0.57,0.71,-0.71,1.5,"0.4(-0.71-1.5)"
"23",-0.63,0.61,-1.03,"pol_catunk",-1.82,0.56,"-0.63(-1.82-0.56)",0.44,0.49,0.9,-0.51,1.38,"0.44(-0.51-1.38)"
"24",0.96,0.46,2.07,"(Intercept)",0.05,1.86,"0.96(0.05-1.86)",1.36,1.46,0.93,-1.5,4.22,"1.36(-1.5-4.22)"
"25",0.07,0.55,0.12,"hh_cat2-4",-1,1.14,"0.07(-1-1.14)",0.58,0.42,1.38,-0.24,1.41,"0.58(-0.24-1.41)"
"26",1.5,1.07,1.4,"hh_cat5+",-0.6,3.6,"1.5(-0.6-3.6)",1.06,0.86,1.23,-0.63,2.75,"1.06(-0.63-2.75)"
"27",1.19,0.3,3.93,"(Intercept)",0.59,1.78,"1.19(0.59-1.78)",1.36,1.46,0.93,-1.5,4.22,"1.36(-1.5-4.22)"
"28",-0.24,0.49,-0.5,"gender_iMale",-1.21,0.72,"-0.24(-1.21-0.72)",NA,NA,NA,NA,NA,NA
"29",1.21,0.34,3.5,"(Intercept)",0.53,1.88,"1.21(0.53-1.88)",1.36,1.46,0.93,-1.5,4.22,"1.36(-1.5-4.22)"
"30",-0.22,0.48,-0.45,"comorb_catY",-1.15,0.72,"-0.22(-1.15-0.72)",NA,NA,NA,NA,NA,NA
"31",1.17,0.37,3.14,"(Intercept)",0.44,1.91,"1.17(0.44-1.91)",1.36,1.46,0.93,-1.5,4.22,"1.36(-1.5-4.22)"
"32",0.75,0.65,1.15,"emp_catemp_noleave",-0.53,2.02,"0.75(-0.53-2.02)",0.11,0.51,0.22,-0.88,1.1,"0.11(-0.88-1.1)"
"33",-0.71,0.54,-1.33,"emp_catno_emp",-1.77,0.34,"-0.71(-1.77-0.34)",-0.02,0.48,-0.05,-0.95,0.91,"-0.02(-0.95-0.91)"
"34",0.51,2.48,0.2,"emp_catunk",-4.36,5.38,"0.51(-4.36-5.38)",-0.75,1.88,-0.4,-4.43,2.93,"-0.75(-4.43-2.93)"
"35",1.91,0.25,7.79,"(Intercept)",1.43,2.39,"1.91(1.43-2.39)",1.36,1.46,0.93,-1.5,4.22,"1.36(-1.5-4.22)"
"36",-0.2,0.02,-12.24,"work_cont_r1",-0.23,-0.16,"-0.2(-0.23--0.16)",NA,NA,NA,NA,NA,NA
"37",1.03,0.73,1.43,"(Intercept)",-0.39,2.45,"1.03(-0.39-2.45)",1.36,1.46,0.93,-1.5,4.22,"1.36(-1.5-4.22)"
"38",-0.53,0.81,-0.66,"variant_worry2",-2.12,1.05,"-0.53(-2.12-1.05)",-1.11,0.62,-1.79,-2.32,0.1,"-1.11(-2.32-0.1)"
"39",0.42,0.82,0.51,"variant_worry3",-1.2,2.03,"0.42(-1.2-2.03)",-0.89,0.64,-1.38,-2.15,0.37,"-0.89(-2.15-0.37)"
"40",1.62,1.4,1.15,"variant_worry4",-1.13,4.36,"1.62(-1.13-4.36)",-1.21,1.08,-1.13,-3.31,0.89,"-1.21(-3.31-0.89)"
"41",2.68,1.52,1.76,"variant_worry5",-0.3,5.67,"2.68(-0.3-5.67)",0.54,1.17,0.46,-1.75,2.83,"0.54(-1.75-2.83)"
"42",1.87,0.54,3.44,"(Intercept)",0.81,2.93,"1.87(0.81-2.93)",1.36,1.46,0.93,-1.5,4.22,"1.36(-1.5-4.22)"
"43",-0.03,0.02,-1.59,"StringencyIndex",-0.06,0.01,"-0.03(-0.06-0.01)",0,0.02,-0.24,-0.04,0.03,"0(-0.04-0.03)"
"44",1.38,0.81,1.7,"(Intercept)",-0.21,2.96,"1.38(-0.21-2.96)",1.36,1.46,0.93,-1.5,4.22,"1.36(-1.5-4.22)"
"45",-0.23,0.9,-0.26,"lca4_full2",-2,1.54,"-0.23(-2-1.54)",-1.7,0.73,-2.34,-3.13,-0.28,"-1.7(-3.13--0.28)"
"46",-0.11,0.9,-0.13,"lca4_full3",-1.88,1.66,"-0.11(-1.88-1.66)",-1.9,0.76,-2.5,-3.38,-0.41,"-1.9(-3.38--0.41)"
"47",-0.78,0.96,-0.81,"lca4_full4",-2.67,1.11,"-0.78(-2.67-1.11)",-1.52,0.78,-1.96,-3.04,0,"-1.52(-3.04-0)"
