,Estimate.x,Std. Error.x,t value.x,cat,2.5 %.x,97.5 %.x,Estimate.y,Std. Error.y,t value.y,2.5 %.y,97.5 %.y,Estimate.x.x,Std. Error.x.x,t value.x.x,2.5 %.x.x,97.5 %.x.x,Estimate.y.y,Std. Error.y.y,t value.y.y,2.5 %.y.y,97.5 %.y.y,Estimate.x.x.x,Std. Error.x.x.x,t value.x.x.x,2.5 %.x.x.x,97.5 %.x.x.x,Estimate.y.y.y,Std. Error.y.y.y,t value.y.y.y,2.5 %.y.y.y,97.5 %.y.y.y,Estimate,Std. Error,t value,2.50%,97.50%
1,0.43,0.51,0.84,(Intercept),-0.57,1.43,0.4,0.54,0.73,-0.66,1.45,0.32,1.38,0.23,-2.38,3.02,1.34,0.54,2.49,0.29,2.4,2.93,1.38,2.13,0.23,5.62,1.41,0.51,2.76,0.41,2.41,2.88,1.37,2.11,0.21,5.56
2,0.54,0.93,0.59,vax_cata1_first_new,-1.27,2.36,0.58,0.93,0.62,-1.24,2.39,1.26,0.94,1.34,-0.58,3.1,0.17,0.92,0.18,-1.63,1.96,1.03,0.93,1.11,-0.79,2.85,0.14,0.92,0.15,-1.66,1.93,1.01,0.93,1.09,-0.81,2.82
3,0.07,0.71,0.1,vax_cata2_both_new,-1.33,1.47,0.19,0.74,0.25,-1.27,1.65,0.94,0.78,1.21,-0.58,2.46,0.03,0.74,0.04,-1.42,1.47,1.05,0.77,1.36,-0.45,2.55,-0.05,0.71,-0.07,-1.44,1.33,0.91,0.72,1.26,-0.5,2.33
4,1.04,0.99,1.06,vax_cata2_second_new,-0.89,2.98,1.19,1.12,1.06,-1,3.37,1.84,1.16,1.59,-0.43,4.11,0.68,1.11,0.61,-1.49,2.85,1.76,1.14,1.54,-0.48,4,0.64,0.98,0.65,-1.28,2.56,1.51,0.99,1.53,-0.42,3.44
5,1.35,0.64,2.12,vax_cata3_full_vax,0.1,2.61,0.85,0.88,0.97,-0.88,2.58,1.74,0.98,1.78,-0.17,3.65,0.56,0.87,0.64,-1.15,2.27,1.98,0.96,2.05,0.09,3.86,1.17,0.63,1.85,-0.07,2.41,2.09,0.66,3.15,0.79,3.39
6,0.57,0.41,1.39,(Intercept),-0.24,1.38,0.4,0.54,0.73,-0.66,1.45,0.32,1.38,0.23,-2.38,3.02,1.34,0.54,2.49,0.29,2.4,2.93,1.38,2.13,0.23,5.62,1.41,0.51,2.76,0.41,2.41,2.88,1.37,2.11,0.21,5.56
7,0.12,0.58,0.21,roundr3,-1.02,1.26,-0.3,0.71,-0.42,-1.7,1.1,-0.32,0.74,-0.43,-1.76,1.12,-0.16,0.71,-0.23,-1.55,1.22,-0.41,0.73,-0.56,-1.83,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1.45,0.58,2.48,roundr4,0.3,2.59,0.84,0.87,0.96,-0.87,2.56,0.45,0.92,0.49,-1.35,2.25,0.99,0.87,1.15,-0.7,2.69,0.25,0.91,0.27,-1.53,2.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1.66,1.11,1.5,(Intercept),-0.51,3.84,0.4,0.54,0.73,-0.66,1.45,0.32,1.38,0.23,-2.38,3.02,1.34,0.54,2.49,0.29,2.4,2.93,1.38,2.13,0.23,5.62,1.41,0.51,2.76,0.41,2.41,2.88,1.37,2.11,0.21,5.56
10,-0.16,1.27,-0.12,age_cat125-34,-2.65,2.34,NA,NA,NA,NA,NA,0.1,1.3,0.07,-2.44,2.64,NA,NA,NA,NA,NA,-0.09,1.28,-0.07,-2.6,2.42,NA,NA,NA,NA,NA,-0.1,1.28,-0.07,-2.6,2.41
