"","Estimate.x","Std. Error.x","t value.x","cat","lo_2.5.x","hi_97.5.x","est.x","Estimate.y","Std. Error.y","t value.y","lo_2.5.y","hi_97.5.y","est.y","Estimate.x.x","Std. Error.x.x","t value.x.x","lo_2.5.x.x","hi_97.5.x.x","est.x.x","Estimate.y.y","Std. Error.y.y","t value.y.y","lo_2.5.y.y","hi_97.5.y.y","est.y.y","Estimate","Std. Error","t value","lo_2.5","hi_97.5","est"
"1",0.43,0.51,0.84,"(Intercept)",-0.57,1.43,"0.43(-0.57-1.43)",0.26,1.22,0.21,-2.13,2.65,"0.26(-2.13-2.65)",0.53,1.81,0.3,-3,4.07,"0.53(-3-4.07)",1.28,1.21,1.05,-1.1,3.65,"1.28(-1.1-3.65)",2.97,1.8,1.65,-0.54,6.49,"2.97(-0.54-6.49)"
"2",0.54,0.93,0.59,"vax_cata1_first_new",-1.27,2.36,"0.54(-1.27-2.36)",0.54,0.94,0.57,-1.3,2.38,"0.54(-1.3-2.38)",1.07,0.95,1.12,-0.8,2.93,"1.07(-0.8-2.93)",0.21,0.93,0.23,-1.61,2.04,"0.21(-1.61-2.04)",0.88,0.94,0.93,-0.97,2.72,"0.88(-0.97-2.72)"
"3",0.07,0.71,0.1,"vax_cata2_both_new",-1.33,1.47,"0.07(-1.33-1.47)",0.33,0.74,0.44,-1.12,1.78,"0.33(-1.12-1.78)",0.92,0.76,1.21,-0.57,2.42,"0.92(-0.57-2.42)",0.23,0.73,0.32,-1.2,1.67,"0.23(-1.2-1.67)",1.01,0.76,1.33,-0.47,2.49,"1.01(-0.47-2.49)"
"4",1.04,0.99,1.06,"vax_cata2_second_new",-0.89,2.98,"1.04(-0.89-2.98)",1.2,1.06,1.13,-0.88,3.28,"1.2(-0.88-3.28)",1.69,1.09,1.55,-0.44,3.82,"1.69(-0.44-3.82)",0.78,1.05,0.74,-1.28,2.85,"0.78(-1.28-2.85)",1.55,1.08,1.43,-0.56,3.66,"1.55(-0.56-3.66)"
"5",1.35,0.64,2.12,"vax_cata3_full_vax",0.1,2.61,"1.35(0.1-2.61)",1.29,0.78,1.66,-0.23,2.81,"1.29(-0.23-2.81)",1.81,0.84,2.16,0.17,3.45,"1.81(0.17-3.45)",1,0.77,1.3,-0.51,2.5,"1(-0.51-2.5)",1.87,0.83,2.26,0.25,3.49,"1.87(0.25-3.49)"
"6",0.57,0.41,1.39,"(Intercept)",-0.24,1.38,"0.57(-0.24-1.38)",0.26,1.22,0.21,-2.13,2.65,"0.26(-2.13-2.65)",0.53,1.81,0.3,-3,4.07,"0.53(-3-4.07)",1.28,1.21,1.05,-1.1,3.65,"1.28(-1.1-3.65)",2.97,1.8,1.65,-0.54,6.49,"2.97(-0.54-6.49)"
"7",0.12,0.58,0.21,"roundr3",-1.02,1.26,"0.12(-1.02-1.26)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1.45,0.58,2.48,"roundr4",0.3,2.59,"1.45(0.3-2.59)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1.66,1.11,1.5,"(Intercept)",-0.51,3.84,"1.66(-0.51-3.84)",0.26,1.22,0.21,-2.13,2.65,"0.26(-2.13-2.65)",0.53,1.81,0.3,-3,4.07,"0.53(-3-4.07)",1.28,1.21,1.05,-1.1,3.65,"1.28(-1.1-3.65)",2.97,1.8,1.65,-0.54,6.49,"2.97(-0.54-6.49)"
"10",-0.16,1.27,-0.12,"age_cat125-34",-2.65,2.34,"-0.16(-2.65-2.34)",NA,NA,NA,NA,NA,NA,-0.01,1.33,0,-2.61,2.6,"-0.01(-2.61-2.6)",NA,NA,NA,NA,NA,NA,-0.21,1.32,-0.16,-2.79,2.36,"-0.21(-2.79-2.36)"
"11",0.22,1.25,0.17,"age_cat135-44",-2.23,2.67,"0.22(-2.23-2.67)",NA,NA,NA,NA,NA,NA,-0.06,1.3,-0.04,-2.61,2.49,"-0.06(-2.61-2.49)",NA,NA,NA,NA,NA,NA,-0.52,1.29,-0.41,-3.05,2,"-0.52(-3.05-2)"
"12",-0.16,1.25,-0.13,"age_cat145-54",-2.6,2.28,"-0.16(-2.6-2.28)",NA,NA,NA,NA,NA,NA,-0.13,1.31,-0.1,-2.7,2.44,"-0.13(-2.7-2.44)",NA,NA,NA,NA,NA,NA,-0.49,1.3,-0.38,-3.03,2.05,"-0.49(-3.03-2.05)"
"13",-0.86,1.22,-0.7,"age_cat155-64",-3.26,1.54,"-0.86(-3.26-1.54)",NA,NA,NA,NA,NA,NA,-0.9,1.28,-0.7,-3.4,1.61,"-0.9(-3.4-1.61)",NA,NA,NA,NA,NA,NA,-1.45,1.27,-1.15,-3.93,1.02,"-1.45(-3.93-1.02)"
"14",-1.46,1.2,-1.21,"age_cat165+",-3.81,0.9,"-1.46(-3.81-0.9)",NA,NA,NA,NA,NA,NA,-1.65,1.29,-1.28,-4.17,0.87,"-1.65(-4.17-0.87)",NA,NA,NA,NA,NA,NA,-2.44,1.28,-1.91,-4.94,0.05,"-2.44(-4.94-0.05)"
"15",1.88,0.7,2.67,"(Intercept)",0.5,3.26,"1.88(0.5-3.26)",0.26,1.22,0.21,-2.13,2.65,"0.26(-2.13-2.65)",0.53,1.81,0.3,-3,4.07,"0.53(-3-4.07)",1.28,1.21,1.05,-1.1,3.65,"1.28(-1.1-3.65)",2.97,1.8,1.65,-0.54,6.49,"2.97(-0.54-6.49)"
"16",-0.79,0.76,-1.04,"race_eth_i2_NH-White",-2.28,0.7,"-0.79(-2.28-0.7)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",-1.1,0.97,-1.13,"race_eth_i3_NH-Black",-3,0.81,"-1.1(-3-0.81)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",-1.35,1.26,-1.08,"race_eth_i4_NH-Asian",-3.81,1.11,"-1.35(-3.81-1.11)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",-1.82,1.93,-0.94,"race_eth_i5_NH-Other",-5.61,1.97,"-1.82(-5.61-1.97)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1.2,0.37,3.25,"(Intercept)",0.48,1.93,"1.2(0.48-1.93)",0.26,1.22,0.21,-2.13,2.65,"0.26(-2.13-2.65)",0.53,1.81,0.3,-3,4.07,"0.53(-3-4.07)",1.28,1.21,1.05,-1.1,3.65,"1.28(-1.1-3.65)",2.97,1.8,1.65,-0.54,6.49,"2.97(-0.54-6.49)"
"21",0.37,0.67,0.56,"pol_catind",-0.93,1.68,"0.37(-0.93-1.68)",NA,NA,NA,NA,NA,NA,0.47,0.68,0.69,-0.86,1.8,"0.47(-0.86-1.8)",NA,NA,NA,NA,NA,NA,0.38,0.67,0.57,-0.94,1.7,"0.38(-0.94-1.7)"
"22",-0.16,0.71,-0.23,"pol_catrep",-1.54,1.22,"-0.16(-1.54-1.22)",NA,NA,NA,NA,NA,NA,-0.12,0.74,-0.16,-1.56,1.33,"-0.12(-1.56-1.33)",NA,NA,NA,NA,NA,NA,-0.2,0.73,-0.27,-1.63,1.23,"-0.2(-1.63-1.23)"
"23",-0.63,0.61,-1.03,"pol_catunk",-1.82,0.56,"-0.63(-1.82-0.56)",NA,NA,NA,NA,NA,NA,-0.83,0.64,-1.28,-2.09,0.44,"-0.83(-2.09-0.44)",NA,NA,NA,NA,NA,NA,-0.62,0.64,-0.97,-1.87,0.63,"-0.62(-1.87-0.63)"
"24",0.96,0.46,2.07,"(Intercept)",0.05,1.86,"0.96(0.05-1.86)",0.26,1.22,0.21,-2.13,2.65,"0.26(-2.13-2.65)",0.53,1.81,0.3,-3,4.07,"0.53(-3-4.07)",1.28,1.21,1.05,-1.1,3.65,"1.28(-1.1-3.65)",2.97,1.8,1.65,-0.54,6.49,"2.97(-0.54-6.49)"
"25",0.07,0.55,0.12,"hh_cat2-4",-1,1.14,"0.07(-1-1.14)",NA,NA,NA,NA,NA,NA,-0.16,0.56,-0.28,-1.25,0.94,"-0.16(-1.25-0.94)",NA,NA,NA,NA,NA,NA,-0.15,0.55,-0.27,-1.23,0.94,"-0.15(-1.23-0.94)"
"26",1.5,1.07,1.4,"hh_cat5+",-0.6,3.6,"1.5(-0.6-3.6)",NA,NA,NA,NA,NA,NA,0.61,1.15,0.53,-1.64,2.86,"0.61(-1.64-2.86)",NA,NA,NA,NA,NA,NA,0.3,1.14,0.26,-1.93,2.52,"0.3(-1.93-2.52)"
"27",1.19,0.3,3.93,"(Intercept)",0.59,1.78,"1.19(0.59-1.78)",0.26,1.22,0.21,-2.13,2.65,"0.26(-2.13-2.65)",0.53,1.81,0.3,-3,4.07,"0.53(-3-4.07)",1.28,1.21,1.05,-1.1,3.65,"1.28(-1.1-3.65)",2.97,1.8,1.65,-0.54,6.49,"2.97(-0.54-6.49)"
"28",-0.24,0.49,-0.5,"gender_iMale",-1.21,0.72,"-0.24(-1.21-0.72)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",1.21,0.34,3.5,"(Intercept)",0.53,1.88,"1.21(0.53-1.88)",0.26,1.22,0.21,-2.13,2.65,"0.26(-2.13-2.65)",0.53,1.81,0.3,-3,4.07,"0.53(-3-4.07)",1.28,1.21,1.05,-1.1,3.65,"1.28(-1.1-3.65)",2.97,1.8,1.65,-0.54,6.49,"2.97(-0.54-6.49)"
"30",-0.22,0.48,-0.45,"comorb_catY",-1.15,0.72,"-0.22(-1.15-0.72)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",1.17,0.37,3.14,"(Intercept)",0.44,1.91,"1.17(0.44-1.91)",0.26,1.22,0.21,-2.13,2.65,"0.26(-2.13-2.65)",0.53,1.81,0.3,-3,4.07,"0.53(-3-4.07)",1.28,1.21,1.05,-1.1,3.65,"1.28(-1.1-3.65)",2.97,1.8,1.65,-0.54,6.49,"2.97(-0.54-6.49)"
"32",0.75,0.65,1.15,"emp_catemp_noleave",-0.53,2.02,"0.75(-0.53-2.02)",NA,NA,NA,NA,NA,NA,0.64,0.67,0.96,-0.67,1.94,"0.64(-0.67-1.94)",NA,NA,NA,NA,NA,NA,-1.27,0.68,-1.87,-2.59,0.06,"-1.27(-2.59-0.06)"
"33",-0.71,0.54,-1.33,"emp_catno_emp",-1.77,0.34,"-0.71(-1.77-0.34)",NA,NA,NA,NA,NA,NA,-0.21,0.62,-0.33,-1.43,1.01,"-0.21(-1.43-1.01)",NA,NA,NA,NA,NA,NA,-1.99,0.63,-3.14,-3.24,-0.75,"-1.99(-3.24--0.75)"
"34",0.51,2.48,0.2,"emp_catunk",-4.36,5.38,"0.51(-4.36-5.38)",NA,NA,NA,NA,NA,NA,0.78,2.5,0.31,-4.11,5.67,"0.78(-4.11-5.67)",NA,NA,NA,NA,NA,NA,-0.82,2.48,-0.33,-5.67,4.02,"-0.82(-5.67-4.02)"
"35",1.91,0.25,7.79,"(Intercept)",1.43,2.39,"1.91(1.43-2.39)",0.26,1.22,0.21,-2.13,2.65,"0.26(-2.13-2.65)",0.53,1.81,0.3,-3,4.07,"0.53(-3-4.07)",1.28,1.21,1.05,-1.1,3.65,"1.28(-1.1-3.65)",2.97,1.8,1.65,-0.54,6.49,"2.97(-0.54-6.49)"
"36",-0.2,0.02,-12.24,"work_cont_r1",-0.23,-0.16,"-0.2(-0.23--0.16)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.18,0.02,-11.21,-0.21,-0.15,"-0.18(-0.21--0.15)",-0.21,0.02,-12.29,-0.24,-0.17,"-0.21(-0.24--0.17)"
"37",1.03,0.73,1.43,"(Intercept)",-0.39,2.45,"1.03(-0.39-2.45)",0.26,1.22,0.21,-2.13,2.65,"0.26(-2.13-2.65)",0.53,1.81,0.3,-3,4.07,"0.53(-3-4.07)",1.28,1.21,1.05,-1.1,3.65,"1.28(-1.1-3.65)",2.97,1.8,1.65,-0.54,6.49,"2.97(-0.54-6.49)"
"38",-0.53,0.81,-0.66,"variant_worry2",-2.12,1.05,"-0.53(-2.12-1.05)",-0.53,0.81,-0.65,-2.12,1.06,"-0.53(-2.12-1.06)",-0.41,0.82,-0.5,-2.02,1.19,"-0.41(-2.02-1.19)",-0.48,0.8,-0.6,-2.06,1.09,"-0.48(-2.06-1.09)",-0.44,0.81,-0.54,-2.03,1.15,"-0.44(-2.03-1.15)"
"39",0.42,0.82,0.51,"variant_worry3",-1.2,2.03,"0.42(-1.2-2.03)",0.4,0.83,0.48,-1.23,2.03,"0.4(-1.23-2.03)",0.44,0.85,0.51,-1.23,2.1,"0.44(-1.23-2.1)",0.72,0.82,0.88,-0.89,2.34,"0.72(-0.89-2.34)",0.59,0.84,0.7,-1.06,2.23,"0.59(-1.06-2.23)"
"40",1.62,1.4,1.15,"variant_worry4",-1.13,4.36,"1.62(-1.13-4.36)",1.24,1.42,0.87,-1.54,4.03,"1.24(-1.54-4.03)",0.97,1.43,0.68,-1.82,3.77,"0.97(-1.82-3.77)",1.25,1.41,0.89,-1.51,4.01,"1.25(-1.51-4.01)",0.72,1.41,0.51,-2.05,3.48,"0.72(-2.05-3.48)"
"41",2.68,1.52,1.76,"variant_worry5",-0.3,5.67,"2.68(-0.3-5.67)",2.45,1.54,1.59,-0.57,5.46,"2.45(-0.57-5.46)",2.35,1.55,1.52,-0.68,5.38,"2.35(-0.68-5.38)",2.7,1.52,1.77,-0.29,5.69,"2.7(-0.29-5.69)",2.35,1.53,1.54,-0.64,5.35,"2.35(-0.64-5.35)"
"42",1.87,0.54,3.44,"(Intercept)",0.81,2.93,"1.87(0.81-2.93)",0.26,1.22,0.21,-2.13,2.65,"0.26(-2.13-2.65)",0.53,1.81,0.3,-3,4.07,"0.53(-3-4.07)",1.28,1.21,1.05,-1.1,3.65,"1.28(-1.1-3.65)",2.97,1.8,1.65,-0.54,6.49,"2.97(-0.54-6.49)"
"43",-0.03,0.02,-1.59,"StringencyIndex",-0.06,0.01,"-0.03(-0.06-0.01)",0,0.02,0.13,-0.04,0.05,"0(-0.04-0.05)",0,0.02,0.17,-0.04,0.05,"0(-0.04-0.05)",0,0.02,-0.23,-0.05,0.04,"0(-0.05-0.04)",0,0.02,0.08,-0.04,0.05,"0(-0.04-0.05)"
"44",1.23,0.26,4.7,"(Intercept)",0.72,1.75,"1.23(0.72-1.75)",0.26,1.22,0.21,-2.13,2.65,"0.26(-2.13-2.65)",0.53,1.81,0.3,-3,4.07,"0.53(-3-4.07)",1.28,1.21,1.05,-1.1,3.65,"1.28(-1.1-3.65)",2.97,1.8,1.65,-0.54,6.49,"2.97(-0.54-6.49)"
"45",-0.81,0.89,-0.92,"string_cat2",-2.55,0.93,"-0.81(-2.55-0.93)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",-0.74,0.8,-0.93,"string_cat3",-2.31,0.83,"-0.74(-2.31-0.83)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",-11.23,14.3,-0.79,"string_cat4",-39.27,16.8,"-11.23(-39.27-16.8)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
