"","var","val","n","r1","r2","r3","r4"
"1","GENDER_I","Female","1496 (62%)","4.1 (3.4-4.8)","5.3 (4.5-6.2)","5.5 (4.6-6.5)","7.7 (6.6-8.8)"
"2","GENDER_I","Male","907 (38%)","4.3 (3.3-5.3)","3.8 (2.9-4.6)","5.3 (4.2-6.5)","7.1 (5.7-8.5)"
"3","RACE_ETHNICITY_I","1_Hisp","276 (11%)","4.1 (2.4-5.7)","5.3 (3.2-7.4)","6.9 (4.2-9.7)","9.7 (6.7-12.7)"
"4","RACE_ETHNICITY_I","2_NH-White","1657 (69%)","4.1 (3.4-4.9)","4.4 (3.7-5.1)","5.3 (4.5-6.2)","7.4 (6.3-8.5)"
"5","RACE_ETHNICITY_I","3_NH-Black","302 (13%)","4.7 (2.8-6.7)","6.5 (4.1-8.8)","4.8 (2.9-6.8)","7.1 (4.7-9.4)"
"6","RACE_ETHNICITY_I","4_NH-Asian","126 (5%)","4 (2-6)","3.9 (1.5-6.3)","5.5 (2.4-8.5)","5.6 (3.2-8)"
"7","RACE_ETHNICITY_I","5_NH-Other","42 (2%)","3.1 (0-6.2)","4.3 (-1.7-10.4)","4.1 (-2.1-10.3)","3.3 (0.1-6.4)"
"8","age_cat1","18-24","111 (5%)","6.2 (2.9-9.5)","6.1 (2.9-9.2)","10.5 (4.7-16.3)","11.2 (6.3-16.1)"
"9","age_cat1","25-34","345 (14%)","6.9 (4.8-9)","8.4 (6.2-10.5)","11.2 (8.1-14.3)","11.4 (8.8-14)"
"10","age_cat1","35-44","407 (17%)","5.5 (3.8-7.1)","5.1 (3.7-6.5)","6.2 (4.5-7.9)","11.1 (8.4-13.8)"
"11","age_cat1","45-54","417 (17%)","5.9 (4.3-7.6)","6.1 (4.3-7.8)","6.1 (4.3-7.9)","10.4 (7.9-13)"
"12","age_cat1","55-64","502 (21%)","3.8 (2.7-5)","5.4 (3.7-7.1)","4.4 (3.2-5.5)","6.2 (4.6-7.9)"
"13","age_cat1","65+","621 (26%)","0.6 (0.2-0.9)","0.9 (0.5-1.3)","1.3 (0.8-1.9)","1.2 (0.7-1.7)"
"14","comorb_cat","No","1151 (48%)","4.5 (3.7-5.4)","5.1 (4.2-6.1)","6.2 (5.1-7.4)","8.2 (6.9-9.4)"
"15","comorb_cat","Yes","1252 (52%)","3.9 (3-4.7)","4.4 (3.6-5.3)","4.7 (3.8-5.7)","6.8 (5.6-8)"
"16","emp_cat","Emp,in home","472 (20%)","0.4 (0-0.8)","0.9 (0.4-1.4)","3 (1.5-4.4)","6.1 (4.2-8)"
"17","emp_cat","Emp,out home","950 (40%)","9.8 (8.4-11.2)","10.3 (8.8-11.7)","10.9 (9.4-12.5)","13.3 (11.6-15.1)"
"18","emp_cat","Unemp","891 (37%)","0.2 (0-0.4)","0.6 (0.3-0.9)","1 (0.4-1.6)","1.6 (0.9-2.2)"
"19","emp_cat",NA,"90 (4%)","4 (2.2-5.7)","8.4 (3-13.8)","4.9 (1.7-8.1)","10.5 (6-15)"
"20","hh_cat","1","638 (27%)","3.7 (2.6-4.8)","4.3 (3-5.5)","5.2 (3.9-6.5)","6.6 (5.1-8.1)"
"21","hh_cat","2-4","1619 (67%)","4.3 (3.6-5.1)","4.7 (3.9-5.4)","5.4 (4.5-6.2)","7.4 (6.4-8.5)"
"22","hh_cat","5+","146 (6%)","4.7 (2-7.4)","8 (4.4-11.5)","7.5 (3.2-11.9)","12.1 (7-17.2)"
"23","lca4_full","High","208 (9%)","7.5 (4.5-10.4)","9.4 (6.7-12.2)","10.6 (7-14.1)","11.6 (8.2-15.1)"
"24","lca4_full","Low","498 (21%)","8 (6.1-10)","7.1 (5.3-8.9)","8.8 (6.6-11.1)","9.8 (7.5-12.2)"
"25","lca4_full","Med-high","841 (35%)","3.9 (3.1-4.7)","4.4 (3.4-5.3)","4.8 (3.8-5.8)","7.3 (6.1-8.6)"
"26","lca4_full","Med-low","856 (36%)","1.4 (0.9-1.9)","2.7 (1.8-3.5)","2.9 (2-3.8)","5.2 (3.9-6.5)"
"27","pol_cat","Dem","996 (41%)","3.6 (2.7-4.5)","3.9 (3.1-4.8)","4.5 (3.5-5.5)","7.2 (5.9-8.5)"
"28","pol_cat","Ind","445 (19%)","3.6 (2.4-4.8)","4.7 (3.2-6.3)","5.8 (4.1-7.6)","8.4 (6.1-10.6)"
"29","pol_cat","Rep","378 (16%)","3.5 (2.2-4.7)","3.9 (2.6-5.1)","4.9 (3.3-6.5)","6.6 (4.6-8.6)"
"30","pol_cat",NA,"584 (24%)","6.1 (4.6-7.6)","6.7 (5.1-8.4)","7.1 (5.2-9)","7.8 (6.1-9.5)"
