"","var","val","1","2","3","4"
"1","maskcat__r1","Never","1.9%",NA,"0.2%",NA
"2","maskcat__r1","Rarely","8.6%",NA,"0.2%","0.1%"
"3","maskcat__r1","Sometimes","23%","0.6%",NA,"1.8%"
"4","maskcat__r1","Often","55.5%","9.6%","6.5%","30.2%"
"5","maskcat__r1","Always","5.7%","87.4%","90.5%","65.3%"
"6","maskcat__r1",NA,"5.3%","2.5%","2.6%","2.7%"
"7","sanicat2__r1","0 times","29.7%","36.5%",NA,"18.8%"
"8","sanicat2__r1","1-3 times","24.4%","42.8%","0.6%","40.6%"
"9","sanicat2__r1","4-5 times","12.4%","1.7%","36.7%","9.7%"
"10","sanicat2__r1","6 or more times","15.3%",NA,"54.4%","11.9%"
"11","sanicat2__r1",NA,"18.2%","19%","8.3%","18.9%"
"12","soapcat2__r1","0-4 times","23.4%","25.4%","2.4%","29.1%"
"13","soapcat2__r1","5-6 times","20.6%","23.4%","14%","25.1%"
"14","soapcat2__r1","7-10 times","24.4%","22.5%","38.9%","18.5%"
"15","soapcat2__r1","11 or more times","14.8%","10.5%","37.1%","9%"
"16","soapcat2__r1",NA,"16.7%","18.2%","7.5%","18.2%"
"17","socdist_cat__r1","Never","3.8%","0.1%","0.4%",NA
"18","socdist_cat__r1","Rarely","14.4%","0.4%","1%","0.4%"
"19","socdist_cat__r1","Sometimes","40.2%","0.5%","1%","8.3%"
"20","socdist_cat__r1","Often","40.2%","31.9%","31%","67%"
"21","socdist_cat__r1",NA,"1.4%",NA,"0.4%","0.6%"
"22","transcat__r1","0","77.5%","92.3%","88.8%","82.5%"
"23","transcat__r1","1-2","12%","3.5%","4.9%","9.5%"
"24","transcat__r1","3-5","3.3%","1.3%","0.8%","2.6%"
"25","transcat__r1","6-10","1%","0.2%","0.2%","1.5%"
"26","transcat__r1","More than 10","1%","0.1%","2.8%","1.2%"
"27","transcat__r1",NA,"5.3%","2.5%","2.4%","2.8%"
"28","travess_cat__r1","Daily","14.8%",NA,"5.7%","6.1%"
"29","travess_cat__r1","Several times a week","52.2%","22.1%","40.6%","49.8%"
"30","travess_cat__r1","Once a week","19.6%","42.6%","32.3%","38.7%"
"31","travess_cat__r1","Once 2-3 week","6.2%","23%","13.8%","3.3%"
"32","travess_cat__r1","Monthly","1.4%","8.5%","5.7%",NA
"33","travess_cat__r1",NA,"5.7%","1.7%","1.6%","2.1%"
"34","travnoness_cat__r1","Daily","3.8%",NA,"1%","1.8%"
"35","travnoness_cat__r1","Several times a week","27.8%",NA,"3%","16.8%"
"36","travnoness_cat__r1","Once a week","24.4%","0.6%","7.9%","27.3%"
"37","travnoness_cat__r1","Once 2-3 week","15.3%","2.1%","9.1%","26.1%"
"38","travnoness_cat__r1","Monthly","15.3%","17.6%","19.9%","18.7%"
"39","travnoness_cat__r1","Never travel","8.1%","77.3%","56.8%","6.9%"
"40","travnoness_cat__r1",NA,"5.3%","2.4%","2.2%","2.5%"
"41","vaxcat__r1","Very unlikely","40.7%","7%","18.7%","4.1%"
"42","vaxcat__r1","Somewhat unlikely","24.9%","4.1%","7.9%","2.2%"
"43","vaxcat__r1","Somewhat likely","21.5%","16.1%","19.1%","21.4%"
"44","vaxcat__r1","Very likely","9.1%","60.4%","34.9%","58.9%"
"45","vaxcat__r1","Unsure","2.9%","11.8%","18.9%","12.7%"
"46","vaxcat__r1",NA,"1%","0.6%","0.6%","0.6%"
"47","socdist_cat__r1","Always",NA,"67.1%","66.1%","23.7%"
"48","travess_cat__r1","Never travel",NA,"2.1%","0.4%",NA
